School Name,Years of Data,Years Available,School Type,School Level,ZIP Code,Neighborhood,Asian_Percent,Black_Percent,Hispanic_Percent,White_Percent,Latest Year Mean Score,Latest Year Pass Rate
Lower Manhattan Arts Academy,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10002,Union Square - Lower East Side,0.0,46.88,53.12,0.0,58.0,43.75
Lyons Community School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11206,Williamsburg - Bushwick,0.0,0.0,100.0,0.0,53.5,7.7
Manhattan Academy For Arts & Language,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10016,Gramercy Park - Murray Hill,0.0,0.0,100.0,0.0,57.8,33.3
Manhattan Bridges High School,6,"2017, 2018, 2019, 2020, 2021, 2023",General Academic,High school,10019,Chelsea - Clinton,0.0,0.0,100.0,0.0,69.7,64.9
Manhattan Business Academy,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10011,Chelsea - Clinton,0.0,33.85,66.15,0.0,62.25,52.29
Manhattan Center for Science and Mathematics,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10029,East Harlem,25.34,23.29,51.37,0.0,76.12,84.95
Manhattan Comprehensive Night and Day High School,6,"2017, 2018, 2019, 2020, 2022, 2023",Transfer School,High school,10003,Union Square - Lower East Side,9.6,30.4,60.0,0.0,68.12,65.59
Manhattan Early College School for Advertising,6,"2017, 2018, 2019, 2020, 2022, 2023",Career Technical,High school,10038,Lower Manhattam,0.0,45.71,54.29,0.0,74.16,80.01
Manhattan International High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10065,Upper East Side,13.67,26.62,50.36,9.35,62.32,54.69
Marble Hill High School for International Studies,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10463,Kingsbridge - Riverdale,0.0,15.85,84.15,0.0,65.99,53.68
Martin Van Buren High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11427,Southeast Queens,34.44,41.39,20.36,3.81,71.03,73.68
Maspeth High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11378,West Queens,21.17,0.0,78.83,0.0,65.85,59.49
"Math, Engineering, and Science Academy (MESA) Charter High School",6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11221,Williamsburg - Bushwick,0.0,0.0,100.0,0.0,63.6,51.0
Medgar Evers College Preparatory School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11225,East Flatbush - Flatbush,2.95,87.54,9.51,0.0,75.56,84.94
Metropolitan Expeditionary Learning School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11375,Jamaica,20.75,19.81,43.4,16.04,77.31,80.18
Millennium Art Academy,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10473,Pelham - Throgs Neck,0.0,28.57,71.43,0.0,70.24,69.84
Mott Hall Bronx High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10457,Crotona - Tremont,0.0,24.21,75.79,0.0,57.72,34.72
Mott Hall High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10030,Central Harlem - Morningside Heights,0.0,0.0,100.0,0.0,74.3,85.2
Mott Haven Community High School,6,"2017, 2018, 2019, 2020, 2022, 2023",Transfer School,High school,10455,Hunts Point - Mott Haven,0.0,0.0,100.0,0.0,54.3,34.5
Mott Haven Village Preparatory High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10455,Hunts Point - Mott Haven,0.0,0.0,100.0,0.0,54.8,25.0
Murray Hill Academy,6,"2017, 2018, 2019, 2020, 2022, 2023",Transfer School,High school,10016,Gramercy Park - Murray Hill,0.0,40.0,60.0,0.0,63.24,62.22
Murry Bergtraum High School for Business Careers,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10038,Lower Manhattam,0.0,50.0,50.0,0.0,52.85,10.0
N.Y.C. Museum School,6,"2017, 2018, 2019, 2021, 2022, 2023",General Academic,High school,10011,Chelsea - Clinton,14.29,8.57,40.0,37.14,71.38,69.98
