Neighborhood,mean_commfar,pct_res_zone,mean_subway_km,mean_stations_1km,pct_residential_lots,pct_mixed_lots,pct_commercial_lots,pct_industrial_lots,pct_mfg_zone,commfar_z,reszone_z,transit_z,NEQ_zoning_raw,NEQ_zoning,NEQ_full_raw,NEQ_full,pct_poverty,poverty_z,NEQ3_raw,NEQ3_score
Greenpoint,0.4367530159917703,0.7789207893014122,0.2731580282554777,4.857142857142857,0.6507995885158515,0.1962966426634246,0.0245020106611802,0.054708687926681,0.1726363041241934,-0.2363601042886857,0.22238449328965762,0.5272888373095729,-0.013975610999028,2.0701913709168656,0.5133132263105448,4.489081110484204,21.9,-0.35487094470103614,-0.3688465557000642,3.0473716005819385
Greenwich Village - SoHo,5.981143934632307,0.0138277812696417,0.2094956058672923,16.0,0.1873035826524198,0.5336266499057196,0.2005028284098051,0.0062853551225644,0.2822124450031427,2.047479071646665,3.3434329289781584,0.578582884872907,5.390912000624823,7.470165602415981,5.96949488549773,8.33605811868344,12.0,0.6971385341236929,6.088050534748516,8.04150214784988
High Bridge - Morrisania,0.3917638303150583,0.8233688910940213,0.5824034321106961,3.6,0.5991069213594642,0.1168444554701066,0.054825105432895,0.0275365914165219,0.1069213594641528,-0.25489199827842224,0.041067088591344725,0.278123821919963,-0.2138249096870775,1.870523747712688,0.0642989122328854,4.172495657413635,36.0,-1.853187475148378,-2.0670123848354556,1.7339138014547018
Hunts Point - Mott Haven,0.3992102665350444,0.8353076669957222,0.2756276365910366,5.363636363636363,0.640342217834814,0.110891740704179,0.0501809805857189,0.0404738400789733,0.1168147416913458,-0.25182467077394716,-0.007634830601324016,0.5252990260099878,-0.2594595013752712,1.8249306407161128,0.2658395246347166,4.314595417017999,44.5,-2.7564279367655695,-3.0158874381408407,1.0
Jamaica,0.0651956828727052,0.9714797256405084,1.2954453581827106,1.5294117647058822,0.885364131531168,0.0327819245511398,0.0185848295339923,0.0064555174500706,0.0178031067177728,-0.3894115766569887,-0.5631223153335655,-0.2963878774239963,-0.9525338919905542,1.1324862979724062,-1.2489217694145505,3.2465862789231097,14.0,0.4846113666843537,-0.4679225253062005,2.9707406245296593
Kingsbridge - Riverdale,0.0559610705596107,0.9444444444444444,0.4210824147864063,3.1666666666666665,0.7619626926196269,0.0523114355231143,0.0559610705596107,0.0036496350364963,0.0206812652068126,-0.3932154876157765,-0.4528371327484561,0.4081032921503203,-0.8460526203642327,1.2388707714779783,-0.4379493282139123,3.818376686657962,12.0,0.6971385341236929,-0.1489140862405398,3.217479850516517
Long Island City - Astoria,0.7424253380577048,0.7257936220984886,0.35854418951121,5.666666666666667,0.663171595921614,0.1243763106515293,0.0494612770265384,0.0751319690505459,0.2122351580013016,-0.1104479104377366,0.4391064608812901,0.4584915523115885,0.3286585504435534,2.4125140565250063,0.787150102755142,4.682154624799047,12.0,0.6971385341236929,1.0257970845672464,4.126068118250622
Lower Manhattam,8.616666666666667,0.1444444444444444,0.293841841393912,20.0,0.1361111111111111,0.4166666666666667,0.2305555555555555,0.0027777777777777,0.0,3.133100585860548,2.810607601864933,0.5106234881897307,5.9437081877254805,8.022459263285956,6.454331675915212,8.67790083983342,12.0,0.6971385341236929,6.640846721849173,8.46906608231253
Lower Manhattan,12.240201005025126,0.0251256281407035,0.4231697124185484,14.666666666666666,0.0904522613065326,0.2914572864321608,0.3768844221105528,0.0,0.0100502512562814,4.6257027127176435,3.2973455553733646,0.4064215159940645,7.923048268091009,10.0,8.329469784085074,10.0,12.0,0.6971385341236929,8.620186802214702,10.0
Northeast Bronx,0.0492646715532938,0.96573136000747,0.5779564382783723,3.1818181818181817,0.894299453756011,0.0158270694243428,0.0188150707315934,0.0052290022876885,0.0199822587422382,-0.39597386064768225,-0.5396729733863505,0.2817068510381167,-0.9356468340340328,1.1493580045394278,-0.6539399829959159,3.666088670086305,14.0,0.4846113666843537,-0.45103546734967903,2.983802033254742
