year,school_name_x,school_name_y,ptr
2020,"METROPOLITAN HIGH SCHOOL, THE",Metropolitan High School,9.6
2022,"METROPOLITAN HIGH SCHOOL, THE",Metropolitan High School,9.4
2019,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,Middle College High School at LaGuardia Community College,20.2
2020,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,Middle College High School at LaGuardia Community College,23.6
2022,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,Middle College High School at LaGuardia Community College,23.0
2019,MIDWOOD HIGH SCHOOL,Midwood High School,20.1
2020,MIDWOOD HIGH SCHOOL,Midwood High School,19.6
2022,MIDWOOD HIGH SCHOOL,Midwood High School,19.5
2019,MILLENNIUM ART ACADEMY,Millennium Art Academy,12.3
2020,MILLENNIUM ART ACADEMY,Millennium Art Academy,11.5
2022,MILLENNIUM ART ACADEMY,Millennium Art Academy,11.4
2019,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,Morris Academy for Collaborative Studies,11.0
2020,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,Morris Academy for Collaborative Studies,11.7
2022,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,Morris Academy for Collaborative Studies,12.1
2019,MOTT HALL BRONX HIGH SCHOOL,Mott Hall Bronx High School,12.6
2020,MOTT HALL BRONX HIGH SCHOOL,Mott Hall Bronx High School,12.1
2022,MOTT HALL BRONX HIGH SCHOOL,Mott Hall Bronx High School,12.4
2019,MOTT HALL HIGH SCHOOL,Mott Hall High School,15.5
2020,MOTT HALL HIGH SCHOOL,Mott Hall High School,12.6
2022,MOTT HALL HIGH SCHOOL,Mott Hall High School,12.6
2019,MOTT HALL V,Mott Hall V,11.8
2020,MOTT HALL V,Mott Hall V,12.4
2022,MOTT HALL V,Mott Hall V,12.5
2019,MOTT HAVEN COMMUNITY HIGH SCHOOL,Mott Haven Community High School,10.6
2020,MOTT HAVEN COMMUNITY HIGH SCHOOL,Mott Haven Community High School,10.8
2022,MOTT HAVEN COMMUNITY HIGH SCHOOL,Mott Haven Community High School,10.6
2019,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,Mott Haven Village Preparatory High School,10.8
2020,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,Mott Haven Village Preparatory High School,10.9
2022,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,Mott Haven Village Preparatory High School,10.6
2019,MS 223 THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY,The Laboratory School of Finance and Technology,11.8
2020,MS 223 THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY,The Laboratory School of Finance and Technology,13.8
2022,MS 223 THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY,The Laboratory School of Finance and Technology,14.2
2019,MULTICULTURAL HIGH SCHOOL,Multicultural High School,12.2
2020,MULTICULTURAL HIGH SCHOOL,Multicultural High School,13.1
2022,MULTICULTURAL HIGH SCHOOL,Multicultural High School,14.1
2019,MURRAY HILL ACADEMY,Murray Hill Academy,11.9
2020,MURRAY HILL ACADEMY,Murray Hill Academy,10.4
2022,MURRAY HILL ACADEMY,Murray Hill Academy,10.6
2019,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,Murry Bergtraum High School for Business Careers,10.6
2020,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,Murry Bergtraum High School for Business Careers,9.5
2022,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,Murry Bergtraum High School for Business Careers,9.5
2019,NELSON MANDELA HIGH SCHOOL,Nelson Mandela High School,12.1
2020,NELSON MANDELA HIGH SCHOOL,Nelson Mandela High School,13.4
2022,NELSON MANDELA HIGH SCHOOL,Nelson Mandela High School,12.6
2019,NEW DESIGN HIGH SCHOOL,New Design High School,11.0
2020,NEW DESIGN HIGH SCHOOL,New Design High School,11.7
2022,NEW DESIGN HIGH SCHOOL,New Design High School,11.1
2019,NEW DORP HIGH SCHOOL,New Dorp High School,15.8
2020,NEW DORP HIGH SCHOOL,New Dorp High School,16.3
2022,NEW DORP HIGH SCHOOL,New Dorp High School,16.1
2019,NEW UTRECHT HIGH SCHOOL,New Utrecht High School,16.9
2020,NEW UTRECHT HIGH SCHOOL,New Utrecht High School,17.0
2022,NEW UTRECHT HIGH SCHOOL,New Utrecht High School,17.0
2019,NEW WORLD HIGH SCHOOL,New World High School,13.5
2020,NEW WORLD HIGH SCHOOL,New World High School,14.0
2022,NEW WORLD HIGH SCHOOL,New World High School,13.9
2019,NEWCOMERS HIGH SCHOOL,Newcomers High School,14.3
2020,NEWCOMERS HIGH SCHOOL,Newcomers High School,15.2
2022,NEWCOMERS HIGH SCHOOL,Newcomers High School,14.8
2019,NEWTOWN HIGH SCHOOL,Newtown High School,15.5
2020,NEWTOWN HIGH SCHOOL,Newtown High School,15.3
2022,NEWTOWN HIGH SCHOOL,Newtown High School,15.2
2019,NYC ISCHOOL,NYC iSchool,14.4
2020,NYC ISCHOOL,NYC iSchool,14.3
2022,NYC ISCHOOL,NYC iSchool,14.3
2019,OLYMPUS ACADEMY,Olympus Academy,12.5
