School Name,DBN,latitude,longitude,formatted_address,Neighborhood,ZIP Code
Fannie Lou Hamer Freedom High School,72X682,40.831212,-73.885804,1021 JENNINGS STREET,Crotona - Tremont,10460
Flushing High School,77Q263,40.764892,-73.826811,35-01 UNION STREET,Flushing - Clearview,11354
Food and Finance High School,71M288,40.765474,-73.9927,525 WEST 50 STREET,Chelsea - Clinton,10019
Fordham High School for the Arts,72X437,40.859466,-73.888625,500 EAST FORDHAM ROAD,Fordham - Bronx Park,10458
Fordham Leadership Academy,72X438,40.859466,-73.888625,500 EAST FORDHAM ROAD,Fordham - Bronx Park,10458
Forest Hills High School,77Q440,40.730017,-73.843972,67-01 110 STREET,Ridgewood - Forest Hills,11375
Fort Hamilton High School,76K490,40.626827,-74.038103,8301 SHORE ROAD,Bensonhurst - Bay Ridge,11209
Francis Lewis High School,77Q430,40.740875,-73.795049,58-20 UTOPIA PARKWAY,Fresh Meadows,11365
Frank McCourt High School,71M417,40.786134,-73.974483,145 WEST 84 STREET,Upper West Side,10024
Frank Sinatra School of the Arts High School,77Q501,40.756099,-73.925182,35-12 35 AVENUE,Long Island City - Astoria,11106
Franklin Delano Roosevelt High School,73K505,40.621299,-73.982583,5800 20 AVENUE,Borough Park,11204
Frederick Douglass Academy,71M499,40.823988,-73.935746,2581 ADAM CLAYTON POWELL JR. BOULEVARD,Central Harlem - Morningside Heights,10039
Frederick Douglass Academy VI High School,77Q260,40.601537,-73.763995,8-21 BAY 25 STREET,Rockaway,11691
Frederick Douglass Academy VII High School,73K514,40.665568,-73.912102,226 BRISTOL STREET,Bedford Stuyvesant - Crown Heights,11212
Gaynor McCown Expeditionary Learning School,76R064,40.581958,-74.159343,100 ESSEX DRIVE,Willowbrook,10314
George Washington Carver High School for the Sciences,77Q272,40.66903,-73.757744,143-10 SPRINGFIELD BOULEVARD,Southeast Queens,11413
George Westinghouse Career and Technical Education,76K605,40.695444,-73.986105,105 TECH PLACE,Downtown - Heights - Park Slope,11201
Gotham Collaborative High School,72X452,40.821218,-73.85593,1980 LAFAYETTE AVENUE,Pelham - Throgs Neck,10473
Gramercy Arts High School,71M374,40.735361,-73.987064,40 IRVING PLACE,Union Square - Lower East Side,10003
Gregorio Luperon High School for Science and Mathematics,71M552,40.8381,-73.9383,501 WEST 165 STREET,Washington Heights - Inwood,10032
Grover Cleveland High School,77Q485,40.711881,-73.909202,21-27 HIMROD STREET,Ridgewood - Forest Hills,11385
"X259 H.E.R.O. High (Health, Education, and Research Occupations High School)",72X259,40.810671,-73.907528,455 SOUTHERN BOULEVARD,Hunts Point - Mott Haven,10455
Harlem Renaissance High School,71M285,40.807692,-73.939974,22 EAST 128 STREET,East Harlem,10035
Harry S Truman High School,72X455,40.874035,-73.831669,750 BAYCHESTER AVENUE,Northeast Bronx,10475
Harvest Collegiate High School,71M534,40.736416,-73.995731,34 WEST 14 STREET,Chelsea - Clinton,10011
Harvey Milk High School,71M586,40.729661,-73.992343,2-10 ASTOR PLACE,Union Square - Lower East Side,10003
Health Opportunities High School,72X670,40.815712,-73.92996,350 GERARD AVENUE,High Bridge - Morrisania,10451
"Mathematics, Science Research and Technology Magnet High School",77Q492,40.69863168,-73.74520533,207-01 116 AVENUE,Southeast Queens,11411
Herbert H. Lehman High School,72X405,40.839775,-73.839583,3000 EAST TREMONT AVENUE,Pelham - Throgs Neck,10461
The Heritage School,71M680,40.791966,-73.946879,1680 LEXINGTON AVENUE,East Harlem,10029
High School for Arts and Business,77Q550,40.737673,-73.853412,105-25 HORACE HARDING EXPRESSWAY N,West Queens,11368
High School for Civil Rights,73K504,40.666868,-73.895122,400 PENNSYLVANIA AVENUE,East New York,11207
High School for Community Leadership,77Q328,40.714551,-73.798658,167-01 GOTHIC DRIVE,Jamaica,11432
High School for Contemporary Arts,72X544,40.875172,-73.861649,800 EAST GUN HILL ROAD,Fordham - Bronx Park,10467
