year,school_name_x,school_name_y,ptr,neighborhood,zip_code
2022,BENJAMIN FRANKLIN HIGH SCHOOL FOR FINANCE & INFORMATION TECHNOLOGY,Benjamin Franklin High School for Finance & Inform,14.1,Southeast Queens,11411
2019,BOYS AND GIRLS HIGH SCHOOL,Boys and Girls High School,11.2,Bedford Stuyvesant - Crown Heights,11213
2020,BOYS AND GIRLS HIGH SCHOOL,Boys and Girls High School,11.2,Bedford Stuyvesant - Crown Heights,11213
2022,BOYS AND GIRLS HIGH SCHOOL,Boys and Girls High School,11,Bedford Stuyvesant - Crown Heights,11213
2019,BRONX ACADEMY FOR SOFTWARE ENGINEERING (BASE),Bronx Academy for Software Engineering (BASE),10.4,Fordham - Bronx Park,10458
2020,BRONX ACADEMY FOR SOFTWARE ENGINEERING (BASE),Bronx Academy for Software Engineering (BASE),10.8,Fordham - Bronx Park,10458
2022,BRONX ACADEMY FOR SOFTWARE ENGINEERING (BASE),Bronx Academy for Software Engineering (BASE),10.2,Fordham - Bronx Park,10458
2019,BRONX ACADEMY OF HEALTH CAREERS,Bronx Academy of Health Careers,13,Fordham - Bronx Park,10467
2020,BRONX ACADEMY OF HEALTH CAREERS,Bronx Academy of Health Careers,14.1,Fordham - Bronx Park,10467
2022,BRONX ACADEMY OF HEALTH CAREERS,Bronx Academy of Health Careers,13.9,Fordham - Bronx Park,10467
2019,BRONX AEROSPACE HIGH SCHOOL,Bronx Aerospace High School,12.6,Fordham - Bronx Park,10467
2020,BRONX AEROSPACE HIGH SCHOOL,Bronx Aerospace High School,11.3,Fordham - Bronx Park,10467
2022,BRONX AEROSPACE HIGH SCHOOL,Bronx Aerospace High School,10.9,Fordham - Bronx Park,10467
2019,BRONX ARENA HIGH SCHOOL,Bronx Arena High School,9.8,Pelham - Throgs Neck,10473
2020,BRONX ARENA HIGH SCHOOL,Bronx Arena High School,10.8,Pelham - Throgs Neck,10473
2022,BRONX ARENA HIGH SCHOOL,Bronx Arena High School,10.3,Pelham - Throgs Neck,10473
2019,BRONX BRIDGES HIGH SCHOOL,Bronx Bridges High School,11.3,Pelham - Throgs Neck,10473
2020,BRONX BRIDGES HIGH SCHOOL,Bronx Bridges High School,10.7,Pelham - Throgs Neck,10473
2022,BRONX BRIDGES HIGH SCHOOL,Bronx Bridges High School,10.6,Pelham - Throgs Neck,10473
2019,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,Bronx Career and College Preparatory High School,12.2,High Bridge - Morrisania,10456
2020,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,Bronx Career and College Preparatory High School,11.9,High Bridge - Morrisania,10456
2022,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,Bronx Career and College Preparatory High School,11.2,High Bridge - Morrisania,10456
2019,BRONX CENTER FOR SCIENCE AND MATHEMATICS,Bronx Center for Science and Mathematics,14.6,High Bridge - Morrisania,10456
2020,BRONX CENTER FOR SCIENCE AND MATHEMATICS,Bronx Center for Science and Mathematics,14.5,High Bridge - Morrisania,10456
2022,BRONX CENTER FOR SCIENCE AND MATHEMATICS,Bronx Center for Science and Mathematics,14.6,High Bridge - Morrisania,10456
2019,BRONX COLLABORATIVE HIGH SCHOOL,Bronx Collaborative High School,12,Fordham - Bronx Park,10468
2020,BRONX COLLABORATIVE HIGH SCHOOL,Bronx Collaborative High School,11.9,Fordham - Bronx Park,10468
2022,BRONX COLLABORATIVE HIGH SCHOOL,Bronx Collaborative High School,11.6,Fordham - Bronx Park,10468
2019,BRONX COLLEGIATE ACADEMY,Bronx Collegiate Academy,13.5,Crotona - Tremont,10457
2020,BRONX COLLEGIATE ACADEMY,Bronx Collegiate Academy,13.1,Crotona - Tremont,10457
2022,BRONX COLLEGIATE ACADEMY,Bronx Collegiate Academy,13.5,Crotona - Tremont,10457
2019,BRONX COMPASS HIGH SCHOOL,Bronx Compass High School,11,Pelham - Throgs Neck,10473
2020,BRONX COMPASS HIGH SCHOOL,Bronx Compass High School,12.3,Pelham - Throgs Neck,10473
2022,BRONX COMPASS HIGH SCHOOL,Bronx Compass High School,12.5,Pelham - Throgs Neck,10473
2019,BRONX DESIGN AND CONSTRUCTION ACADEMY,Bronx Design and Construction Academy,9.8,High Bridge - Morrisania,10451
2020,BRONX DESIGN AND CONSTRUCTION ACADEMY,Bronx Design and Construction Academy,8.9,High Bridge - Morrisania,10451
2022,BRONX DESIGN AND CONSTRUCTION ACADEMY,Bronx Design and Construction Academy,9,High Bridge - Morrisania,10451
2019,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,Bronx Engineering and Technology Academy,13.3,Kingsbridge - Riverdale,10463
2020,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,Bronx Engineering and Technology Academy,12.2,Kingsbridge - Riverdale,10463
2022,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,Bronx Engineering and Technology Academy,12.1,Kingsbridge - Riverdale,10463
2019,BRONX ENVISION ACADEMY,Bronx Envision Academy,12,Crotona - Tremont,10460
2020,BRONX ENVISION ACADEMY,Bronx Envision Academy,10.8,Crotona - Tremont,10460
2022,BRONX ENVISION ACADEMY,Bronx Envision Academy,11.5,Crotona - Tremont,10460
2019,BRONX HAVEN HIGH SCHOOL,Bronx Haven High School,9.6,High Bridge - Morrisania,10451
2020,BRONX HAVEN HIGH SCHOOL,Bronx Haven High School,10.7,High Bridge - Morrisania,10451
2022,BRONX HAVEN HIGH SCHOOL,Bronx Haven High School,10,High Bridge - Morrisania,10451
2019,BRONX HEALTH SCIENCES HIGH SCHOOL,Bronx Health Sciences High School,14.3,Northeast Bronx,10475
2020,BRONX HEALTH SCIENCES HIGH SCHOOL,Bronx Health Sciences High School,15.6,Northeast Bronx,10475
2022,BRONX HEALTH SCIENCES HIGH SCHOOL,Bronx Health Sciences High School,15.9,Northeast Bronx,10475
2019,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,Bronx High School for Law and Community Service,13,Fordham - Bronx Park,10458
2020,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,Bronx High School for Law and Community Service,12.7,Fordham - Bronx Park,10458
2022,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,Bronx High School for Law and Community Service,12.3,Fordham - Bronx Park,10458
2019,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,Bronx High School for the Visual Arts,14.4,Pelham - Throgs Neck,10462
2020,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,Bronx High School for the Visual Arts,13.6,Pelham - Throgs Neck,10462
2022,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,Bronx High School for the Visual Arts,14.4,Pelham - Throgs Neck,10462
2019,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,Bronx High School for Writing and Communication Arts,13.7,Fordham - Bronx Park,10467
2020,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,Bronx High School for Writing and Communication Arts,13,Fordham - Bronx Park,10467
2022,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,Bronx High School for Writing and Communication Arts,13.2,Fordham - Bronx Park,10467
2019,BRONX HIGH SCHOOL OF BUSINESS,Bronx High School of Business,9.3,Crotona - Tremont,10457
2020,BRONX HIGH SCHOOL OF BUSINESS,Bronx High School of Business,10.4,Crotona - Tremont,10457
2022,BRONX HIGH SCHOOL OF BUSINESS,Bronx High School of Business,9.9,Crotona - Tremont,10457
2019,BRONX INTERNATIONAL HIGH SCHOOL,Bronx International High School,12.7,High Bridge - Morrisania,10456
2020,BRONX INTERNATIONAL HIGH SCHOOL,Bronx International High School,11.9,High Bridge - Morrisania,10456
2022,BRONX INTERNATIONAL HIGH SCHOOL,Bronx International High School,11.9,High Bridge - Morrisania,10456
2019,BRONX LATIN,Bronx Latin,12.1,High Bridge - Morrisania,10456
2020,BRONX LATIN,Bronx Latin,11.5,High Bridge - Morrisania,10456
2022,BRONX LATIN,Bronx Latin,11.6,High Bridge - Morrisania,10456
2019,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,Bronx Leadership Academy High School,13,Crotona - Tremont,10457
2020,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,Bronx Leadership Academy High School,11.7,Crotona - Tremont,10457
2022,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,Bronx Leadership Academy High School,11.5,Crotona - Tremont,10457
2019,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,Bronx Leadership Academy II High School,12.2,High Bridge - Morrisania,10451
2020,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,Bronx Leadership Academy II High School,11.7,High Bridge - Morrisania,10451
2022,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,Bronx Leadership Academy II High School,11.7,High Bridge - Morrisania,10451
2019,BRONX REGIONAL HIGH SCHOOL,Bronx Regional High School,12.9,Hunts Point - Mott Haven,10459
2020,BRONX REGIONAL HIGH SCHOOL,Bronx Regional High School,14.3,Hunts Point - Mott Haven,10459
2022,BRONX REGIONAL HIGH SCHOOL,Bronx Regional High School,13.9,Hunts Point - Mott Haven,10459
2019,BRONX RIVER HIGH SCHOOL,Bronx River High School,11.5,Pelham - Throgs Neck,10461
2020,BRONX RIVER HIGH SCHOOL,Bronx River High School,12.9,Pelham - Throgs Neck,10461
2022,BRONX RIVER HIGH SCHOOL,Bronx River High School,12.8,Pelham - Throgs Neck,10461
