Year,School Name,DBN,School Code,School Level,Leadership,Teachers,Other Staff,Male Count,Male Average Years in Title,Male Average Years at School,Female Count,Female Average Years in Title,Female Average Years at School
2022,INSTITUTE FOR HEALTH PROFESSIONS AT CAMBRIA HEIGHT,77Q243,Q243,HIGH SCHOOL,3,37,5,9,7.3,4.9,28,8.6,4.6
2022,QUEENS PREPARATORY ACADEMY,77Q248,Q248,HIGH SCHOOL,3,16,3,6,20.5,7.8,10,9.8,6.2
2022,ENERGY TECH HIGH SCHOOL,77Q258,Q258,HIGH SCHOOL,3,42,10,13,7.1,4.6,29,6.6,3
2022,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,77Q260,Q260,HIGH SCHOOL,2,26,5,10,14.9,7.8,16,10.4,4.1
2022,VOYAGES PREP - SOUTH QUEENS,77Q261,Q261,HIGH SCHOOL,3,19,6,9,17.7,5.7,10,13.4,5.9
2022,FLUSHING INTERNATIONAL HIGH SCHOOL,77Q263,Q263,HIGH SCHOOL,3,32,5,12,11.5,6.3,20,10.7,8.3
2022,ACADEMY OF FINANCE AND ENTERPRISE,77Q264,Q264,HIGH SCHOOL,4,43,6,17,10.6,7.1,26,10.4,6
2022,EXCELSIOR PREPARATORY HIGH SCHOOL,77Q265,Q265,HIGH SCHOOL,2,26,4,7,13.1,10.2,19,12.7,9.5
2022,HIGH SCHOOL OF APPLIED COMMUNICATION,77Q267,Q267,HIGH SCHOOL,3,26,5,14,7.7,4.1,12,10.4,7.2
2022,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIEN,77Q272,Q272,HIGH SCHOOL,2,25,8,9,19.3,10.5,16,17.4,7.1
2022,CIVIC LEADERSHIP ACADEMY,77Q293,Q293,HIGH SCHOOL,3,43,12,17,6.7,5.2,26,10.1,6
2022,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,77Q296,Q296,HIGH SCHOOL,3,30,6,13,9.6,6.4,17,6.6,3.9
2022,BARD HIGH SCHOOL EARLY COLLEGE QUEENS,77Q299,Q299,HIGH SCHOOL,3,49,7,22,9.1,7.2,27,6.8,5.3
2022,ACADEMY FOR CAREERS IN TELEVISION AND FILM,77Q301,Q301,HIGH SCHOOL,3,44,10,23,7.7,6.2,21,6.3,5.6
2022,QUEENS HIGH SCHOOL FOR INFORMATION  RESEARCH  AND,77Q302,Q302,HIGH SCHOOL,4,31,6,18,11.2,4.8,13,15.9,5.3
