Year,School Name,DBN,School Code,School Level,Leadership,Teachers,Other Staff,Male Count,Male Average Years in Title,Male Average Years at School,Female Count,Female Average Years in Title,Female Average Years at School,American Indian/Alaskan Native (AI/AN) Count,AI/AN Average Years in Title,AI/AN Average Years at School,Asian Count,Asian Average Years in Title,Asian Average Years at School,Black/African American (B/AA) Count,B/AA Average Years in Title,B/AA Average Years at School,Hawaiian/Pacific Islander (H/PI) Count,H/PI Average Years in Title,H/PI Average Years at School,Hispanic Count,Hispanic Average Years in Title,Hispanic Average Years at School,White Count,White Average Years in Title,White Average Years at School,Multiple Count,Multiple Average Years in Title,Multiple Average Years at School,Unknown/Other (U/O) Count,U/O Average Years in Title,U/O Average Years at School
2020,ACADEMY FOR SOFTWARE ENGINEERING,02M546,,,3,37,12,19,7.0,3.1,18,5.5,3.8,*,*,*,*,,,*,,,*,*,*,*,,,25,6.0,4.0,*,*,*,*,,
2020,,02M896,,,2,31,8,7,11.2,5.0,24,8.8,5.3,*,*,*,6,8.7,5.0,*,,,*,*,*,*,,,17,9.5,5.3,*,*,*,*,,
2020,,02M933,,,2,15,6,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,10,4.6,2.2,*,*,*,*,,
2020,,03M009,,,2,43,22,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,33,9.5,6.2,*,*,*,*,,
2020,,03M054,,,2,57,19,18,11.3,10.2,39,11.2,9.5,*,*,*,*,,,*,,,*,*,*,6,20.9,16.4,46,10.7,9.6,*,*,*,*,,
2020,,03M075,,,3,76,20,6,9.7,5.3,70,8.8,6.8,*,*,*,*,,,8,14.6,11.7,*,*,*,24,8.2,6.1,35,8.6,6.5,*,*,*,5,6.6,4.2
2020,,03M076,,,3,27,9,6,14.5,9.7,21,13.4,9.3,*,*,*,*,,,14,15.5,9.4,*,*,*,*,,,*,,,*,*,*,*,,
2020,,03M084,,,3,52,20,6,9.9,3.0,46,9.1,7.3,*,*,*,6,9.0,8.4,*,,,*,*,*,14,8.1,5.9,27,10.4,7.1,*,*,*,*,,
2020,,03M087,,,3,55,27,8,15.9,14.0,47,14.4,10.9,*,*,*,*,,,*,,,*,*,*,5,13.0,7.3,42,15.3,12.5,*,*,*,*,,
2020,,03M145,,,2,38,22,5,11.4,8.1,33,8.4,5.6,*,*,*,*,,,*,,,*,*,*,8,18.5,15.1,22,6.4,3.9,*,*,*,*,,
