Year,School Name,DBN,Leadership,Teachers,Other Staff,Male Count,Male Average Years in Title,Male Average Years at School,Female Count,Female Average Years in Title,Female Average Years at School,American Indian/Alaskan Native (AI/AN) Count,AI/AN Average Years in Title,AI/AN Average Years at School,Asian Count,Asian Average Years in Title,Asian Average Years at School,Black/African American (B/AA) Count,B/AA Average Years in Title,B/AA Average Years at School,Hawaiian/Pacific Islander (H/PI) Count,H/PI Average Years in Title,H/PI Average Years at School,Hispanic Count,Hispanic Average Years in Title,Hispanic Average Years at School,White Count,White Average Years in Title,White Average Years at School,Multiple/Other (M/O) Count,M/O Average Years in Title,M/O Average Years at School
2022,Rachel Carson High School for Coastal Studies,76K344,4,39,18,15,11.2,7.7,24,6.6,4.1,*,,,*,,,*,,,*,,,*,,,27,8.9,5.3,*,*,*
2023,Rachel Carson High School for Coastal Studies,76K344,5,38,17,14,11.1,7.5,24,7.3,4.8,*,,,*,,,*,,,*,,,*,,,27,9.4,5.9,*,*,*
2020,Ralph R. McKee Career and Technical Education High School,76R600,5,63,38,34,10.4,7.9,29,9.4,6.6,*,*,*,*,,,*,,,*,*,*,*,,,54,10,7.6,*,*,*
2021,Ralph R. McKee Career and Technical Education High School,76R600,5,57,40,31,10.3,7.8,26,10,7.5,*,,,*,,,*,,,*,,,*,,,51,10.3,7.8,*,*,*
2022,Ralph R. McKee Career and Technical Education High School,76R600,6,67,37,32,10.9,8.1,35,7.4,5.4,*,,,*,,,*,,,*,,,*,,,59,9.1,6.7,*,*,*
2023,Ralph R. McKee Career and Technical Education High School,76R600,7,69,31,30,10.7,8.3,39,7.6,4.8,*,,,*,,,*,,,*,,,*,,,59,8.8,6.5,*,*,*
2020,Renaissance High School for Musical Theater and the Arts,72X293,4,32,6,16,6.5,4.2,16,8.2,3.9,*,*,*,*,,,*,,,*,*,*,10,7.8,2.5,13,5.2,4,*,*,*
2021,Renaissance High School for Musical Theater and the Arts,72X293,4,32,7,16,7.5,5.2,16,9.2,4.9,*,,,*,,,*,,,*,,,10,8.8,3.5,13,6.2,5,*,*,*
2022,Renaissance High School for Musical Theater and the Arts,72X293,3,33,8,17,7.9,5.2,16,9.9,5.4,*,,,*,,,6,11.8,6.9,*,,,11,10,3.7,13,6.4,5.4,*,*,*
2023,Renaissance High School for Musical Theater and the Arts,72X293,3,34,9,19,8.5,5.9,15,11.4,6.5,*,,,*,,,6,12.9,8,*,,,11,10.6,4.3,14,7.7,6.5,*,*,*
2020,Research and Service High School,76K669,3,20,4,6,8.1,3.2,14,9.8,3.1,*,*,*,*,,,13,9.3,3.2,*,*,*,*,,,*,,,*,*,*
2021,Research and Service High School,76K669,3,19,4,6,9.1,4.2,13,10.5,4.4,*,,,*,,,13,10.3,4.2,*,,,*,,,*,,,*,*,*
2022,Research and Service High School,76K669,3,19,4,8,10.2,3.9,11,12.3,4,*,,,*,,,13,11.5,4.5,*,,,*,,,*,,,*,*,*
2023,Research and Service High School,76K669,3,16,3,7,9.7,5.2,9,12,3.6,*,,,*,,,11,11.3,4.4,*,,,*,,,*,,,*,*,*
2020,Richard R. Green High School of Teaching,71M580,2,26,5,13,18.2,13.6,13,10.9,6.9,*,*,*,*,,,*,,,*,*,*,*,,,20,16.2,12.3,*,*,*
2021,Richard R. Green High School of Teaching,71M580,2,22,5,12,19.8,15.3,10,13.2,9.1,*,,,*,,,*,,,*,,,*,,,18,18,14.2,*,*,*
2022,Richard R. Green High School of Teaching,71M580,2,22,5,12,20.7,16.3,10,14.1,10.1,*,,,*,,,*,,,*,,,*,,,18,19,15.2,*,*,*
2023,Richard R. Green High School of Teaching,71M580,2,22,4,12,17.3,14.4,10,16.5,10.8,*,,,*,,,*,,,*,,,*,,,17,17.9,14.8,*,*,*
2020,Richmond Hill High School,77Q475,12,116,31,44,14.8,12.1,72,12.6,9.9,*,*,*,20,12.5,10.4,16,12.8,9.3,*,*,*,23,12.1,8.5,52,15,12.6,*,*,*
2021,Richmond Hill High School,77Q475,12,116,29,46,14.7,12.2,70,13.2,10.7,*,,,18,14.3,12,18,12.3,9.2,*,,,23,12.5,9.2,50,15.7,13.4,5,6,3.7
2022,Richmond Hill High School,77Q475,11,112,29,46,13.9,11.6,66,12.5,10.1,*,,,23,12.4,10.2,14,14.1,11.4,*,,,25,10.2,7.4,49,14.6,12.5,*,*,*
2023,Richmond Hill High School,77Q475,12,117,26,45,12.7,11.1,72,12.7,10.2,*,,,23,13,10.7,17,13.5,10.4,*,,,29,9.2,6.5,45,15.1,13.5,*,*,*
2020,Robert F. Kennedy Community High School,77Q670,3,41,7,21,15,11.4,20,11.6,7.3,*,*,*,5,13,7,*,,,*,*,*,*,,,32,13.8,9.9,*,*,*
2021,Robert F. Kennedy Community High School,77Q670,3,40,6,20,16.2,12.4,20,13,8,*,,,5,14,8,*,,,*,,,*,,,30,14.9,11,*,*,*
2022,Robert F. Kennedy Community High School,77Q670,4,41,8,22,16.7,12.2,19,13.8,9,*,,,*,,,*,,,*,,,5,10,8.4,29,15.9,11.8,*,*,*
2023,Robert F. Kennedy Community High School,77Q670,3,37,8,20,17.7,13.3,17,14.1,8.9,*,,,*,,,*,,,*,,,*,,,28,16.7,12.7,*,*,*
2020,Robert H. Goddard High School of Communication Arts and Technology,77Q308,3,37,9,14,11.4,7.4,23,11,7.3,*,*,*,*,,,*,,,*,*,*,6,14.9,9.3,24,11.1,7.3,*,*,*
2021,Robert H. Goddard High School of Communication Arts and Technology,77Q308,3,36,8,12,12.5,8.4,24,11.7,8.1,*,,,*,,,*,,,*,,,6,15.9,10.3,23,11.8,8,*,*,*
2022,Robert H. Goddard High School of Communication Arts and Technology,77Q308,3,41,9,15,12.4,7.5,26,13.4,7.9,*,,,5,12.1,6.5,*,,,*,,,6,16.8,11.3,26,12.8,7.5,*,*,*
2023,Robert H. Goddard High School of Communication Arts and Technology,77Q308,3,40,11,14,13.6,8.6,26,13.7,8.4,*,,,5,13.1,7.5,*,,,*,,,5,17.6,11.9,26,13.8,8.5,*,*,*
2020,Rockaway Collegiate High School,77Q351,3,24,6,5,7.8,2.7,19,8.4,3.4,*,*,*,*,,,7,7.3,4.2,*,*,*,6,8.1,3.7,9,10.5,2.4,*,*,*
2021,Rockaway Collegiate High School,77Q351,2,28,6,5,8.8,3.7,23,7.7,3.6,*,,,*,,,9,6.8,4,*,,,6,9.1,4.7,9,10.2,2.8,*,*,*
2022,Rockaway Collegiate High School,77Q351,2,25,7,9,4.7,2.4,16,8.9,4.3,*,,,*,,,6,9.6,5.6,*,,,5,8.4,4.3,13,6.1,2.3,*,*,*
2023,Rockaway Collegiate High School,77Q351,3,25,6,10,6.1,3.1,15,10.1,5.5,*,,,*,,,6,10.6,6.6,*,,,5,9.5,5.4,12,7.9,3.3,*,*,*
2020,Rockaway Park High School for Environmental Sustainability,77Q324,2,24,8,9,11.7,5.3,15,9.9,5.3,*,*,*,*,,,*,,,*,*,*,*,,,18,9.9,5.2,*,*,*
2021,Rockaway Park High School for Environmental Sustainability,77Q324,3,23,7,7,14,7.1,16,10.8,6.1,*,,,*,,,*,,,*,,,*,,,17,11,6.4,*,*,*
2022,Rockaway Park High School for Environmental Sustainability,77Q324,3,26,6,10,12.4,5.7,16,11.7,7.1,*,,,*,,,*,,,*,,,*,,,19,11.7,6.6,*,*,*
2023,Rockaway Park High School for Environmental Sustainability,77Q324,3,23,6,9,14.2,6.8,14,12.7,7.6,*,,,*,,,*,,,*,,,*,,,16,13.1,7.2,*,*,*
2020,Scholars' Academy,27Q323,5,74,14,13,9.2,7.2,61,8.1,5.9,*,*,*,*,,,*,,,*,*,*,8,7.5,6,56,8.7,6.5,*,*,*
2021,Scholars' Academy,27Q323,4,73,14,16,11.7,6.9,57,9.5,7.3,*,,,*,,,5,14.9,6.5,*,,,7,9.1,7.4,55,10.4,7.7,*,*,*
2022,Scholars' Academy,27Q323,5,75,17,17,10.5,7.3,58,10.9,7.7,*,,,*,,,5,15.9,7.5,*,,,8,8.8,7.3,56,11.3,8,*,*,*
2023,Scholars' Academy,27Q323,5,73,24,16,11.4,8,57,10.6,7.4,*,,,*,,,7,13.1,6.1,*,,,10,9.3,6.7,49,11.7,8.4,*,*,*
2020,School for Classics High School,73K683,1,22,7,7,11.1,3.1,15,7.2,4.5,*,*,*,*,,,7,8.9,4.1,*,*,*,*,,,6,10.7,5.4,*,*,*
2021,School for Classics High School,73K683,2,21,7,7,12.1,4.1,14,9.4,5.2,*,,,*,,,5,11.2,4.7,*,,,*,,,7,13.2,5.6,*,*,*
2022,School for Classics High School,73K683,2,23,6,8,11.5,4.5,15,9.2,5.4,*,,,*,,,6,8.2,4.8,*,,,*,,,7,14.2,6.6,*,*,*
2023,School for Classics High School,73K683,2,22,6,6,12.9,5.5,16,9.2,5.4,*,,,*,,,6,8.1,4.2,*,,,*,,,7,14.6,7,*,*,*
2020,School for Excellence,72X404,2,20,11,10,15.3,10.5,10,10.3,5.8,*,*,*,*,,,11,13,9.2,*,*,*,*,,,6,12.1,8,*,*,*
2021,School for Excellence,72X404,2,20,8,8,15.4,10.4,12,10.5,4.9,*,,,*,,,8,17.9,9.7,*,,,*,,,6,10.3,7.8,*,*,*
2022,School for Excellence,72X404,2,15,8,6,13.8,9.1,9,11.5,3.7,*,,,*,,,6,16.5,8.5,*,,,*,,,5,10.2,7.2,*,*,*
2023,School for Excellence,72X404,2,16,8,7,16.3,8.4,9,9.7,3.4,*,,,*,,,8,13.4,5.8,*,,,*,,,*,,,*,*,*
2020,Schuylerville Preparatory High School,72X348,3,27,7,13,9.4,3.5,14,8.9,3.2,*,*,*,*,,,*,,,*,*,*,8,9.2,3.5,9,8.1,2.7,*,*,*
2021,Schuylerville Preparatory High School,72X348,3,26,6,11,10.5,4.6,14,9.9,4.2,*,,,*,,,*,,,*,,,7,8.9,4.3,9,9.1,3.7,*,*,*
2022,Schuylerville Preparatory High School,72X348,3,27,6,12,9.9,4.8,15,12.7,4.3,*,,,*,,,5,10.4,5.3,*,,,8,12.7,4.6,10,9.6,3.5,*,*,*
2023,Schuylerville Preparatory High School,72X348,3,27,7,12,10.9,5.5,15,12.6,5.1,*,,,*,,,5,11.5,6.4,*,,,8,12.6,5,10,9.8,4.1,*,*,*
2020,South Bronx Preparatory: A College Board School,72X221,5,52,14,25,6.6,5.5,27,6,5,*,*,*,*,,,10,8,6.5,*,*,*,10,6.7,5,25,6.1,5.2,*,*,*
2021,South Bronx Preparatory: A College Board School,72X221,5,49,12,24,6.9,6.1,25,7,5.9,*,,,*,,,10,8.8,7.3,*,,,10,7.7,6,22,6.5,5.8,*,*,*
2022,South Bronx Preparatory: A College Board School,72X221,5,52,13,24,7.6,6.7,28,7.6,5.9,*,,,5,4.8,4.8,14,8.9,6.2,*,,,9,8.9,7.1,21,7.5,6.7,*,*,*
2023,South Bronx Preparatory: A College Board School,72X221,5,51,14,24,9,7.3,27,8.2,6.3,*,,,5,5.6,5.6,12,10.8,7.6,*,,,9,9.3,7.8,23,8.3,6.6,*,*,*
2020,South Brooklyn Community High School,76K698,3,13,5,5,12.8,2.9,8,12.8,5.9,*,*,*,*,,,*,,,*,*,*,*,,,7,10.8,5.7,*,*,*
2021,South Brooklyn Community High School,76K698,3,14,7,5,13.8,3.9,9,12.3,6.1,*,,,*,,,*,,,*,,,*,,,7,11.8,6.7,*,*,*
2022,South Brooklyn Community High School,76K698,3,13,7,*,,,*,,,*,,,*,,,*,,,*,,,*,,,8,13.1,6.7,*,*,*
2023,South Brooklyn Community High School,76K698,3,12,7,*,,,*,,,*,,,*,,,*,,,*,,,*,,,7,14.7,8.4,*,*,*
2020,Spring Creek Community School,19K422,3,49,9,17,6.7,3,32,6.9,2.4,*,*,*,*,,,24,6.9,2.5,*,*,*,6,5.6,2,13,7.5,3.5,*,*,*
2021,Spring Creek Community School,19K422,3,51,9,19,9.2,3.3,32,7.5,3.3,*,,,*,,,25,8.1,2.9,*,,,5,7.7,3.4,16,8.3,3.9,*,*,*
2022,Spring Creek Community School,19K422,4,48,10,16,9.5,4,32,7.7,3.4,*,,,*,,,27,8.3,2.9,*,,,*,,,13,8.5,4.9,*,*,*
2023,Spring Creek Community School,19K422,4,44,8,14,10.9,4.2,30,6.5,2.3,*,,,*,,,22,9.5,3.1,*,,,*,,,14,7.4,2.9,*,*,*
2020,Staten Island Technical High School,76R605,6,59,14,25,14.9,10.6,34,12.5,9.4,*,*,*,*,,,*,,,*,*,*,*,,,54,14.1,10.5,*,*,*
2021,Staten Island Technical High School,76R605,6,60,15,23,13.8,10.3,37,14,10.3,*,,,*,,,*,,,*,,,*,,,55,14.5,10.8,*,*,*
2022,Staten Island Technical High School,76R605,6,65,17,26,12.1,9.4,39,13.8,10.2,*,,,*,,,*,,,*,,,*,,,61,13.2,10.1,*,*,*
2023,Staten Island Technical High School,76R605,7,64,17,27,12.7,9.6,37,13.2,9.8,*,,,*,,,*,,,*,,,*,,,56,13.9,10.6,*,*,*
2020,Stephen T. Mather Building Arts & Craftsmanship High School,71M139,3,39,12,17,6,2.8,22,5.1,2.9,*,*,*,*,,,*,,,*,*,*,*,,,29,5.4,3.1,*,*,*
2021,Stephen T. Mather Building Arts & Craftsmanship High School,71M139,3,41,13,18,6,2.9,23,5.8,3.9,*,,,*,,,5,5.7,1.9,*,,,*,,,28,6.2,3.9,*,*,*
2022,Stephen T. Mather Building Arts & Craftsmanship High School,71M139,3,39,12,19,6.2,3.6,20,5.8,3.7,*,,,*,,,6,7.8,2.4,*,,,*,,,27,6,4,*,*,*
2023,Stephen T. Mather Building Arts & Craftsmanship High School,71M139,3,35,11,14,7.2,3.9,21,6.2,2.9,*,,,*,,,7,11.1,2.7,*,,,5,7,3.5,20,5.5,3.5,*,*,*
2020,Stuyvesant High School,71M475,10,152,33,76,15.4,10.6,76,14.9,11.2,*,*,*,24,12.2,7.9,*,,,*,*,*,12,18.9,12.1,109,15.4,11.6,*,*,*
2021,Stuyvesant High School,71M475,10,147,33,73,15.8,11.3,74,15.7,11.7,*,,,22,12,7.7,5,18.2,9.5,*,,,11,19.7,13.4,105,16.2,12.3,*,*,*
2022,Stuyvesant High School,71M475,11,155,31,79,15.6,11,76,15.4,11.3,*,,,30,10.2,6.3,6,16.6,8.7,*,,,12,20.4,13.2,103,16.4,12.4,*,*,*
2023,Stuyvesant High School,71M475,11,154,32,76,16.2,11.5,78,15.5,11.3,*,,,30,11.2,7.3,6,18.4,9.6,*,,,15,19,10,99,16.6,12.8,*,*,*
2020,Sunset Park High School,73K667,6,107,20,41,6.4,4.4,66,7,4.8,*,*,*,15,5.3,3.4,8,7.7,5,*,*,*,20,6.5,3.9,54,7.4,5.2,8,6.4,5.3
2021,Sunset Park High School,73K667,6,102,18,41,7.3,5.3,61,8.2,5.9,*,,,14,6.4,4.4,7,9.2,6.1,*,,,22,7.5,5,50,8.4,6.2,7,7.8,6.6
2022,Sunset Park High School,73K667,6,108,15,43,7.6,5.7,65,8,5.8,*,,,15,5.7,3.9,7,10.1,7.1,*,,,27,7.1,4.9,50,8.4,6.3,5,9,8.2
2023,Sunset Park High School,73K667,6,112,17,46,7.8,5.9,66,8.2,6,*,,,16,5.7,3.8,8,9.8,7.1,*,,,30,6.6,4.8,50,9.3,7,5,10,9.2
2020,Susan E. Wagner High School,76R460,13,183,141,74,13.7,10.9,109,12,9.6,*,*,*,5,9.5,8.7,*,,,*,*,*,25,13,10.1,143,13,10.4,5,7.7,5.2
2021,Susan E. Wagner High School,76R460,13,181,149,74,13.6,11,107,11.8,9.6,*,,,7,8.6,7,*,,,*,,,24,13.3,10.8,142,12.6,10.3,*,*,*
2022,Susan E. Wagner High School,76R460,14,189,144,73,14.2,11.3,116,11.4,9.3,*,,,8,8.4,6.9,5,10.2,8.6,*,,,26,12.1,9.8,140,12.9,10.4,7,11.7,9.7
2023,Susan E. Wagner High School,76R460,14,184,129,74,13.8,11.3,110,11.4,9.4,*,,,5,11.8,10.1,*,,,*,,,26,11.3,9.4,140,12.6,10.4,5,11.3,10.4
2020,Talent Unlimited High School,71M519,3,37,5,15,9.2,5.8,22,8.9,4.9,*,*,*,*,,,*,,,*,*,*,5,3.7,1.2,23,11.7,7.2,*,*,*
2021,Talent Unlimited High School,71M519,3,35,7,14,9,5.9,21,10,5.9,*,,,5,6.5,3.3,*,,,*,,,*,,,22,11.9,7.7,*,*,*
2022,Talent Unlimited High School,71M519,2,36,7,15,9.4,6.4,21,9.7,5.3,*,,,6,6.3,3.6,*,,,*,,,*,,,22,11.5,7.4,*,*,*
2023,Talent Unlimited High School,71M519,3,34,10,13,11.5,8.2,21,8.9,4.9,*,,,6,5.1,2.6,*,,,*,,,*,,,20,12.7,8.2,*,*,*
2020,Teachers Preparatory High School,73K697,2,20,6,7,14.9,8.5,13,14.5,8.8,*,*,*,*,,,16,14.5,9.1,*,*,*,*,,,*,,,*,*,*
2021,Teachers Preparatory High School,73K697,2,19,8,6,16,8.6,13,15.4,9.7,*,,,*,,,15,15.4,9.7,*,,,*,,,*,,,*,*,*
2022,Teachers Preparatory High School,73K697,2,19,8,6,16.9,9.5,13,16.4,10.7,*,,,*,,,15,16.3,10.6,*,,,*,,,*,,,*,*,*
2023,Teachers Preparatory High School,73K697,2,18,8,5,15.2,12,13,17.4,11.7,*,,,*,,,15,17.4,11.7,*,,,*,,,*,,,*,*,*
2020,The Academy of Urban Planning and Engineering,73K552,3,24,8,8,10.2,7.5,16,8.1,5.1,*,*,*,*,,,8,11,8.2,*,*,*,*,,,11,5.3,4.4,*,*,*
2021,The Academy of Urban Planning and Engineering,73K552,3,26,7,9,10.8,7.5,17,7.9,5.7,*,,,*,,,8,12,9.2,*,,,5,11.8,6.5,13,5.9,4.6,*,*,*
2022,The Academy of Urban Planning and Engineering,73K552,3,34,8,11,10.3,6.8,23,7.9,4.8,*,,,*,,,8,15.5,9.7,*,,,6,10.7,6.2,18,6,3.9,*,*,*
2023,The Academy of Urban Planning and Engineering,73K552,3,35,11,12,10.3,7.1,23,7.4,4.6,*,,,*,,,9,15.1,9.5,*,,,9,6.4,3.3,16,6.1,4.6,*,*,*
2020,The Boerum Hill School for International Studies,76K497,4,58,9,16,5.8,3.6,42,6.5,3.8,*,*,*,*,,,13,7,3.4,*,*,*,7,8.5,6.5,32,5.8,3.7,*,*,*
2021,The Boerum Hill School for International Studies,76K497,4,58,10,16,6.3,4.5,42,7.6,4.5,*,,,*,,,14,7.5,4.1,*,,,8,8.3,6.6,32,7,4.5,*,*,*
2022,The Boerum Hill School for International Studies,76K497,4,65,12,19,6.1,4.6,46,8.2,4.7,*,,,*,,,16,8.4,4.2,*,,,8,9.3,7.5,37,6.8,4.6,*,*,*
2023,The Boerum Hill School for International Studies,76K497,3,68,12,15,5.9,4.8,53,7.7,4.8,*,,,*,,,13,9.1,4.9,*,,,9,9.1,7.2,41,7.1,4.6,*,*,*
2020,The Bronxwood Preparatory Academy,72X514,3,22,6,10,7.4,7.1,12,9.9,7.9,*,*,*,*,,,*,,,*,*,*,5,12,7.4,13,7.2,7,*,*,*
2021,The Bronxwood Preparatory Academy,72X514,3,23,6,11,8.1,7.4,12,9.5,8.1,*,,,*,,,*,,,*,,,5,10.4,6.6,13,8.2,8,*,*,*
2022,The Bronxwood Preparatory Academy,72X514,3,27,8,13,9.7,7,14,8.8,7.7,*,,,*,,,*,,,*,,,6,9.5,6,16,9,7.3,*,*,*
2023,The Bronxwood Preparatory Academy,72X514,3,26,11,11,10.3,9.1,15,6.8,6,*,,,*,,,*,,,*,,,6,7.9,4.9,14,9.6,9.3,*,*,*
2020,The Brooklyn Academy of Global Finance,76K688,2,10,3,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,*,,,*,*,*
2021,The Brooklyn Academy of Global Finance,76K688,2,12,4,*,,,*,,,*,,,*,,,7,9.6,3.2,*,,,*,,,*,,,*,*,*
2022,The Brooklyn Academy of Global Finance,76K688,2,15,4,*,,,*,,,*,,,*,,,8,8.8,3.4,*,,,*,,,*,,,*,*,*
2023,The Brooklyn Academy of Global Finance,76K688,2,17,4,6,6.4,2.1,11,10.2,4,*,,,*,,,8,9.7,4,*,,,*,,,5,7.3,2.7,*,*,*
2020,The Brooklyn Latin School,76K449,4,40,8,19,7.2,4.6,21,7.3,5.1,*,*,*,9,5.4,4.6,*,,,*,*,*,6,9.7,5,22,6.5,5,*,*,*
2021,The Brooklyn Latin School,76K449,3,43,9,18,6.9,5.4,25,8.1,5.5,*,,,8,5.7,5.5,*,,,*,,,7,10.8,5.1,26,7,5.4,*,*,*
2022,The Brooklyn Latin School,76K449,4,41,9,19,7.3,5.3,22,7.6,5,*,,,9,4.7,3.3,*,,,*,,,7,11.8,6.1,23,6.8,5.3,*,*,*
2023,The Brooklyn Latin School,76K449,4,46,10,20,6.9,5.6,26,7.1,4.3,*,,,11,3.9,3.4,*,,,*,,,7,10.5,5.1,27,7.2,5.2,*,*,*
2020,The Brooklyn School for Social Justice,73K549,3,30,11,14,7.6,4.4,16,7.1,5.2,*,*,*,*,,,8,9,6,*,*,*,5,6.3,5.2,14,6.6,3.6,*,*,*
2021,The Brooklyn School for Social Justice,73K549,3,30,12,14,8.6,5.4,16,8.1,6.2,*,,,*,,,8,10,7,*,,,5,7.3,6.2,14,7.6,4.6,*,*,*
2022,The Brooklyn School for Social Justice,73K549,2,30,10,13,9.5,6.1,17,7.9,5.9,*,,,*,,,7,6.9,5.5,*,,,*,,,16,8.7,5.5,*,*,*
2023,The Brooklyn School for Social Justice,73K549,3,29,5,13,10.2,6.8,16,8.3,6.6,*,,,*,,,7,8.5,6.3,*,,,5,7.1,7.7,14,9.6,6.3,*,*,*
2020,The Celia Cruz Bronx High School of Music,72X442,3,32,10,14,9.7,6.1,18,11.4,8.7,*,*,*,*,,,8,15.1,10.2,*,*,*,11,8.4,6,12,10.6,8,*,*,*
2021,The Celia Cruz Bronx High School of Music,72X442,3,31,11,14,10.7,7.1,17,12,9.4,*,,,*,,,7,15.8,10.5,*,,,11,9.4,7,12,11.6,9,*,*,*
2022,The Celia Cruz Bronx High School of Music,72X442,3,32,11,14,11.7,8.1,18,12.9,10.5,*,,,*,,,9,15.2,10.8,*,,,11,10.3,7.9,11,13,10.5,*,*,*
2023,The Celia Cruz Bronx High School of Music,72X442,3,32,11,15,10.2,7,17,13.4,10.2,*,,,*,,,7,17.4,13.2,*,,,12,10.7,7.6,12,10.6,7.7,*,*,*
2020,The Cinema School,72X478,3,25,6,11,3.3,2.4,14,3.8,2.6,*,*,*,*,,,7,2,1.7,*,*,*,*,,,11,5.6,3.5,*,*,*
2021,The Cinema School,72X478,3,25,5,11,4.3,3.4,14,4.8,3.6,*,,,*,,,7,3,2.7,*,,,*,,,11,6.6,4.5,*,*,*
2022,The Cinema School,72X478,3,26,5,11,5.3,4.4,15,7.1,4.1,*,,,*,,,9,6.5,2.9,*,,,*,,,11,7.6,5.8,*,*,*
2023,The Cinema School,72X478,3,26,5,8,6.2,5.1,18,8.2,3.8,*,,,*,,,10,7.6,2.8,*,,,5,6.3,3,9,9.2,6.9,*,*,*
2020,The Eagle Academy for Young Men of Staten Island,31R028,1,32,8,11,7.3,2.2,21,7.1,2.5,*,*,*,*,,,9,11.3,2.6,*,*,*,*,,,19,5.2,2.5,*,*,*
2021,The Eagle Academy for Young Men of Staten Island,31R028,2,35,8,13,6.5,2.6,22,8.7,3.2,*,,,*,,,9,14.2,3.2,*,,,*,,,20,5.7,3.2,*,*,*
2022,The Eagle Academy for Young Men of Staten Island,31R028,2,43,7,16,6,2.7,27,8.8,3.5,*,,,*,,,11,12.4,3.4,*,,,*,,,26,6,3.1,*,*,*
2023,The Eagle Academy for Young Men of Staten Island,31R028,1,45,7,17,8.3,3.4,28,8.5,4,*,,,*,,,11,12.2,4,*,,,*,,,25,6.7,3.9,*,*,*
2020,The Facing History School,71M303,3,30,8,11,6.1,4.6,19,7.7,4.4,*,*,*,*,,,9,9.4,4.2,*,*,*,9,4.7,3.8,11,7.2,4.9,*,*,*
2021,The Facing History School,71M303,2,28,10,11,7.2,5.6,17,9.2,5.6,*,,,*,,,8,11.2,5.5,*,,,9,5.7,4.8,10,8.4,6,*,*,*
2022,The Facing History School,71M303,2,31,8,11,8,6.4,20,8.2,4.8,*,,,*,,,10,9.7,5.2,*,,,8,5.7,4.2,13,8.3,6.1,*,*,*
2023,The Facing History School,71M303,2,31,6,10,8.6,6.6,21,8.4,5.2,*,,,*,,,8,12.4,6.8,*,,,7,5.8,4.1,16,7.7,5.8,*,*,*
2020,The Global Learning Collaborative,71M403,3,32,4,14,8.5,4.5,18,10.9,4,*,*,*,*,,,*,,,*,*,*,5,13.2,2.9,19,10.6,4.7,*,*,*
2021,The Global Learning Collaborative,71M403,2,33,6,14,8.3,5,19,11.4,4.8,*,,,5,6.2,4,*,,,*,,,*,,,19,11.5,5.6,*,*,*
2022,The Global Learning Collaborative,71M403,3,34,8,16,7.8,5,18,16,5.2,*,,,*,,,*,,,*,,,5,14.1,1.3,20,13.9,6.1,*,*,*
2023,The Global Learning Collaborative,71M403,3,34,7,16,9.4,5.9,18,13.7,5.5,*,,,5,7.9,4.8,*,,,*,,,5,16.2,2.2,19,12.6,6.8,*,*,*
2020,The Heritage School,71M680,3,23,4,13,9.4,4.6,10,8.3,4.8,*,*,*,6,10.3,6.1,*,,,*,*,*,*,,,10,5.3,4.2,*,*,*
2021,The Heritage School,71M680,3,21,4,10,11.3,5.6,11,8.5,5.3,*,,,5,10.5,6.3,*,,,*,,,*,,,9,6.3,5.1,*,*,*
2022,The Heritage School,71M680,3,23,6,11,10.1,5.2,12,7.9,5.3,*,,,*,,,*,,,*,,,*,,,10,6.8,5.5,*,*,*
2023,The Heritage School,71M680,3,22,6,11,7.5,4.1,11,5.3,2.9,*,,,*,,,*,,,*,,,*,,,15,5,3.3,*,*,*
2020,The High School for Climate Justice,71M655,3,32,5,15,8.3,7,17,8.2,6.2,*,*,*,5,10.7,10.5,6,5.5,5.5,*,*,*,*,,,19,8.1,5.6,*,*,*
2022,The High School for Climate Justice,71M655,2,28,8,16,11.5,9,12,8,7,*,,,5,12.7,12.5,*,,,*,,,*,,,17,9.5,6.8,*,*,*
2023,The High School for Climate Justice,71M655,3,27,7,17,11.5,9.2,10,10,8.2,*,,,5,13.7,13.5,*,,,*,,,*,,,15,11.4,8,*,*,*
2020,The High School for Global Citizenship,73K528,1,11,3,5,10.4,7.4,6,7.2,4.1,*,*,*,*,,,*,,,*,*,*,*,,,5,8.5,3.9,*,*,*
2021,The High School for Global Citizenship,73K528,1,13,6,7,8.7,6.2,6,7.1,5.4,*,,,*,,,5,9.8,9.3,*,,,*,,,6,8.2,4.1,*,*,*
2022,The High School for Global Citizenship,73K528,1,14,6,6,10,7.4,8,7.1,3.5,*,,,*,,,7,10.1,7.1,*,,,*,,,6,7,3.2,*,*,*
2023,The High School for Global Citizenship,73K528,1,16,5,8,8.5,6.7,8,6.3,4,*,,,*,,,10,8,6.1,*,,,*,,,5,6.7,3.9,*,*,*
2020,The High School For Language And Diplomacy,71M399,3,19,6,9,7.4,4.1,10,9.5,3.4,*,*,*,*,,,5,15.5,3.2,*,*,*,*,,,8,7.4,4,*,*,*
2021,The High School For Language And Diplomacy,71M399,3,17,3,9,8.3,4.1,8,12,4.6,*,,,*,,,*,,,*,,,*,,,9,8.4,4,*,*,*
2022,The High School For Language And Diplomacy,71M399,3,17,4,8,10.5,5.2,9,10,4.3,*,,,*,,,*,,,*,,,*,,,9,8.4,4.9,*,*,*
2023,The High School For Language And Diplomacy,71M399,3,15,4,8,11.6,6.3,7,14,5.7,*,,,*,,,*,,,*,,,*,,,8,9.5,5.5,*,*,*
