Year,School Name,DBN,Leadership,Teachers,Other Staff,Male Count,Male Average Years in Title,Male Average Years at School,Female Count,Female Average Years in Title,Female Average Years at School,American Indian/Alaskan Native (AI/AN) Count,AI/AN Average Years in Title,AI/AN Average Years at School,Asian Count,Asian Average Years in Title,Asian Average Years at School,Black/African American (B/AA) Count,B/AA Average Years in Title,B/AA Average Years at School,Hawaiian/Pacific Islander (H/PI) Count,H/PI Average Years in Title,H/PI Average Years at School,Hispanic Count,Hispanic Average Years in Title,Hispanic Average Years at School,White Count,White Average Years in Title,White Average Years at School,Multiple/Other (M/O) Count,M/O Average Years in Title,M/O Average Years at School
2021,High School for Law Enforcement and Public Safety,77Q690,3,25,6,8,13.1,11.1,17,11.9,7.3,*,,,*,,,11,12.9,7.6,*,,,*,,,7,13.5,11.8,*,*,*
2022,High School for Law Enforcement and Public Safety,77Q690,3,26,7,8,14.9,10.3,18,11.3,6.9,*,,,*,,,12,14.5,7.9,*,,,*,,,5,13.6,11.9,*,*,*
2023,High School for Law Enforcement and Public Safety,77Q690,3,30,7,8,13.5,11.2,22,12,6.9,*,,,*,,,15,13.1,7,*,,,*,,,6,15.4,13.6,*,*,*
2020,"High School for Law, Advocacy and Community Justice",71M492,3,28,6,10,10.9,7.2,18,12.6,9.5,*,*,*,5,10.4,6.5,*,,,*,*,*,*,,,17,10.7,8.4,*,*,*
2021,"High School for Law, Advocacy and Community Justice",71M492,3,26,7,11,11.6,7.3,15,14.5,11,*,,,6,12.4,6.4,*,,,*,,,*,,,16,12.6,9.6,*,*,*
2022,"High School for Law, Advocacy and Community Justice",71M492,4,25,7,11,12.2,9.3,14,15.6,11.8,*,,,6,13.3,7.4,*,,,*,,,*,,,14,13.9,11.6,*,*,*
2023,"High School for Law, Advocacy and Community Justice",71M492,2,31,8,10,12.2,8.7,21,11.6,7.5,*,,,5,15.2,9.1,8,6.7,3.3,*,,,*,,,15,14.2,10.4,*,*,*
2020,High School for Media and Communications,71M463,4,26,7,13,11.8,7.4,13,6.3,5.2,*,*,*,*,,,*,,,*,*,*,13,8.9,5.3,8,12.3,10.1,*,*,*
2021,High School for Media and Communications,71M463,3,23,7,11,11.8,7.9,12,7.5,6.4,*,,,*,,,*,,,*,,,12,9,5.2,6,11.6,11.1,*,*,*
2022,High School for Media and Communications,71M463,3,30,6,12,11.7,8.1,18,8.5,4.9,*,,,*,,,*,,,*,,,16,8.6,4.6,6,12.6,12.1,*,*,*
2023,High School for Media and Communications,71M463,3,28,7,11,12.4,9.1,17,7.1,4.8,*,,,*,,,*,,,*,,,18,7.8,4.7,5,12.1,11.5,*,*,*
2020,High School for Medical Professions,73K633,3,27,7,10,10.4,5.1,17,11,5.4,*,*,*,*,,,12,14,5.6,*,*,*,*,,,13,8.8,5.4,*,*,*
2021,High School for Medical Professions,73K633,3,28,6,11,11.4,6.7,17,11.9,6.1,*,,,*,,,12,14.9,6.3,*,,,*,,,14,10,6.8,*,*,*
2022,High School for Medical Professions,73K633,3,30,6,11,11.2,6.4,19,12.6,6.6,*,,,*,,,15,14.3,6.3,*,,,*,,,14,10,6.8,*,*,*
2023,High School for Medical Professions,73K633,3,30,5,11,12.2,7.5,19,12.8,7.3,*,,,*,,,14,14.9,7.4,*,,,*,,,14,11,7.8,*,*,*
2020,High School for Public Service: Heroes of Tomorrow,73K546,3,30,10,12,14.7,7.4,18,9,5,*,*,*,*,,,10,11.5,5.8,*,*,*,*,,,15,11.6,6.6,*,*,*
2021,High School for Public Service: Heroes of Tomorrow,73K546,3,29,9,11,16.8,8.8,18,9.4,5.3,*,,,*,,,10,12.2,6.5,*,,,*,,,15,12.5,7.6,*,*,*
2022,High School for Public Service: Heroes of Tomorrow,73K546,3,33,9,15,15.5,7.5,18,9.8,5.7,*,,,*,,,12,12.3,7,*,,,*,,,16,13.4,7.1,*,*,*
2023,High School for Public Service: Heroes of Tomorrow,73K546,4,30,12,13,17.1,7.8,17,9.9,6.3,*,,,*,,,9,12.8,8.1,*,,,*,,,14,15.1,8.2,*,*,*
2020,High School for Service & Learning at Erasmus,73K539,3,19,8,10,13,6.1,9,6.3,5.6,*,*,*,*,,,7,10.9,7.3,*,*,*,*,,,10,10.3,5.3,*,*,*
2021,High School for Service & Learning at Erasmus,73K539,3,20,8,11,13,6.5,9,7.2,6.5,*,,,*,,,7,11.9,8.3,*,,,*,,,9,12.4,6.8,*,*,*
2022,High School for Service & Learning at Erasmus,73K539,3,17,5,9,11.4,6.3,8,6.8,6.4,*,,,*,,,6,11.5,8.4,*,,,*,,,7,10.2,6.3,*,*,*
2023,High School for Service & Learning at Erasmus,73K539,3,17,5,9,12.7,7.3,8,7.8,7.5,*,,,*,,,6,12.9,9.4,*,,,*,,,7,11.2,7.3,*,*,*
2020,High School for Teaching and the Professions,72X433,3,32,9,16,14.3,7.6,16,11.8,5.8,*,*,*,*,,,*,,,*,*,*,14,11.9,5,13,15.2,9.3,*,*,*
2021,High School for Teaching and the Professions,72X433,3,30,11,14,14.5,9,16,14.3,6.7,*,,,*,,,*,,,*,,,13,14.1,5.8,12,15.8,10.8,*,*,*
2022,High School for Teaching and the Professions,72X433,3,35,9,14,13.8,7.7,21,12.2,6,*,,,*,,,6,10.5,4.4,*,,,17,11.4,4.9,11,16.6,10.6,*,*,*
2023,High School for Teaching and the Professions,72X433,3,36,11,13,14.3,9.3,23,12,6.1,*,,,*,,,6,10.1,5.3,*,,,19,11.6,5,10,17.2,12.7,*,*,*
2020,High School for Violin and Dance,72X543,3,17,2,9,11.4,4.1,8,4.1,3.2,*,*,*,*,,,*,,,*,*,*,*,,,5,14,4.7,*,*,*
2021,High School for Violin and Dance,72X543,3,17,4,9,12.4,5.1,8,5.1,4.2,*,,,*,,,*,,,*,,,*,,,5,15,5.7,*,*,*
2022,High School for Violin and Dance,72X543,3,16,3,8,13.8,4.2,8,5.5,3.6,*,,,*,,,*,,,*,,,6,10.9,3.4,*,,,*,*,*
2023,High School for Violin and Dance,72X543,3,15,2,8,8.5,2.6,7,7.6,2.9,*,,,*,,,*,,,*,,,5,9.2,1.3,*,,,*,*,*
2020,High School of American Studies at Lehman College,72X696,2,25,4,12,18.9,11.9,13,15.9,9.2,*,*,*,*,,,*,,,*,*,*,*,,,16,17.8,13.3,*,*,*
2021,High School of American Studies at Lehman College,72X696,2,25,3,11,18.1,12.3,14,16.9,9.5,*,,,*,,,*,,,*,,,5,21.1,5.9,14,17.4,14,*,*,*
2022,High School of American Studies at Lehman College,72X696,2,28,3,11,19,13.2,17,18.2,7.8,*,,,*,,,5,17.5,5.4,*,,,5,22,6.9,15,18.1,12.9,*,*,*
2023,High School of American Studies at Lehman College,72X696,3,27,3,12,17.9,10.3,15,16.5,7.7,*,,,*,,,5,18.6,6.4,*,,,*,,,15,18.9,11.7,*,*,*
2020,High School of Applied Communication,77Q267,3,26,4,14,6.3,2.5,12,9.2,6,*,*,*,*,,,*,,,*,*,*,7,7.9,2.5,13,8.3,5.2,*,*,*
2021,High School of Applied Communication,77Q267,3,28,4,15,6.9,3.4,13,10.8,6.7,*,,,*,,,*,,,*,,,7,8.9,3.5,14,8.7,5.8,*,*,*
2022,High School of Applied Communication,77Q267,3,26,5,14,7.7,4.1,12,10.4,7.2,*,,,5,4.4,4.1,*,,,*,,,8,7.6,3.8,11,11.4,8.1,*,*,*
2023,High School of Applied Communication,77Q267,3,28,6,14,8.2,4.8,14,8.7,5.8,*,,,6,5.4,3.7,*,,,*,,,7,9.1,4.7,12,9.8,7.2,*,*,*
2020,High School of Arts and Technology,71M494,4,38,12,12,11.3,2.8,26,8.5,2.6,*,*,*,6,9.8,3.4,6,9.5,1.6,*,*,*,7,12.7,3.2,18,8.3,2.6,*,*,*
2021,High School of Arts and Technology,71M494,4,35,9,10,12.8,4.2,25,9.5,3.6,*,,,*,,,6,8.8,1.6,*,,,7,13.7,4.2,16,9.7,3.8,*,*,*
2022,High School of Arts and Technology,71M494,4,38,9,11,12.2,4.2,27,9.2,3.6,*,,,*,,,8,9.6,2.8,*,,,6,16,5,19,8.7,3.6,*,*,*
2023,High School of Arts and Technology,71M494,4,36,10,10,9.6,3.8,26,10.3,4.2,*,,,*,,,7,11,3.7,*,,,8,13,4.6,16,8.5,3.7,*,*,*
2020,High School of Computers and Technology,72X275,4,35,10,21,14.3,8.7,14,10.3,6.9,*,*,*,*,,,7,10.8,8.6,*,*,*,*,,,19,14.8,8.1,*,*,*
2021,High School of Computers and Technology,72X275,4,33,13,18,16.1,9,15,10.6,7.4,*,,,*,,,6,11.4,8.9,*,,,*,,,17,16.6,8.5,*,*,*
2022,High School of Computers and Technology,72X275,4,35,12,20,15.8,8.1,15,11.1,7.5,*,,,*,,,9,10.7,6.6,*,,,5,8.7,6.6,15,18.5,8.9,*,*,*
