Year,School Name,School Type,Regents Exam,Total Tested,Mean Score,Percent Scoring Below 65,Percent Scoring 65 or Above,Percent Scoring 80 or Above,Asian%,Black%,Hispanic%,White%
2023,Rockaway Collegiate High School,General Academic,Common Core English,103,56.8,53.39,46.61,12.63,0.0,49.51,41.75,8.74
2023,Rockaway Collegiate High School,General Academic,Common Core Algebra,110,57.82,63.68,36.32,0.0,0.0,60.0,40.0,0.0
2022,Rockaway Park High School for Environmental Sustainability,General Academic,Common Core English,38,45.94,71.06,28.94,5.26,0.0,52.63,47.37,0.0
2022,Rockaway Park High School for Environmental Sustainability,General Academic,Living Environment,38,57.13,68.42,31.58,10.54,0.0,52.63,47.37,0.0
2020,Rockaway Park High School for Environmental Sustainability,General Academic,Living Environment,40,55.36,70.0,30.0,2.5,0.0,50.0,32.5,17.5
2022,Rockaway Park High School for Environmental Sustainability,General Academic,Common Core Algebra,44,50.51,81.83,18.17,0.0,0.0,59.09,40.91,0.0
2020,Rockaway Park High School for Environmental Sustainability,General Academic,Common Core Algebra,52,54.83,71.13,28.87,1.9,0.0,63.46,36.54,0.0
2023,Rockaway Park High School for Environmental Sustainability,General Academic,Living Environment,55,57.19,61.86,38.2,14.51,0.0,41.82,58.18,0.0
2020,Rockaway Park High School for Environmental Sustainability,General Academic,Common Core English,63,65.49,38.09,61.91,28.6,0.0,49.21,41.27,9.52
2023,Rockaway Park High School for Environmental Sustainability,General Academic,Common Core Algebra,70,51.45,85.71,14.29,1.41,0.0,51.43,48.57,0.0
2023,Rockaway Park High School for Environmental Sustainability,General Academic,Common Core English,90,56.94,58.89,41.11,18.88,0.0,55.56,33.33,11.11
2021,Scholars' Academy,General Academic,Common Core Algebra,19,84.55,0.0,100.0,73.7,36.84,0.0,0.0,63.16
2021,Scholars' Academy,General Academic,Living Environment,19,86.04,0.0,100.0,89.45,36.84,0.0,0.0,63.16
2023,Scholars' Academy,General Academic,Common Core English,114,90.25,2.62,97.38,87.7,0.0,24.56,35.09,40.35
2020,Scholars' Academy,General Academic,Common Core English,140,89.64,1.42,98.58,90.73,0.0,24.29,26.43,49.29
2023,Scholars' Academy,General Academic,Living Environment,151,85.75,4.62,95.38,78.82,27.81,0.0,24.5,47.68
2022,Scholars' Academy,General Academic,Living Environment,173,86.03,1.74,98.26,83.22,21.97,17.34,16.18,44.51
2022,Scholars' Academy,General Academic,Common Core Algebra,178,84.0,5.04,94.96,75.25,21.91,16.85,17.42,43.82
2023,Scholars' Academy,General Academic,Common Core Algebra,215,83.25,6.97,93.03,68.83,22.79,15.81,24.65,36.74
2020,School for Classics High School,General Academic,Living Environment,39,44.09,94.88,5.12,0.0,0.0,46.15,53.85,0.0
2020,School for Classics High School,General Academic,Common Core Algebra,46,52.17,78.27,21.73,0.0,0.0,45.65,54.35,0.0
2022,School for Classics High School,General Academic,Living Environment,55,52.45,78.2,21.8,0.0,10.91,49.09,40.0,0.0
2023,School for Classics High School,General Academic,Living Environment,57,49.04,89.48,10.52,1.75,0.0,52.63,47.37,0.0
2022,School for Classics High School,General Academic,Common Core Algebra,68,49.57,86.77,13.23,1.47,16.18,44.12,39.71,0.0
2020,School for Classics High School,General Academic,Common Core English,71,53.93,54.94,45.06,19.7,15.49,36.62,47.89,0.0
2022,School for Classics High School,General Academic,Common Core English,85,51.86,58.81,41.19,18.84,22.35,41.18,36.47,0.0
2023,School for Classics High School,General Academic,Common Core English,114,50.55,63.19,36.81,14.91,20.18,39.47,40.35,0.0
2023,School for Classics High School,General Academic,Common Core Algebra,136,48.88,86.77,13.23,0.73,16.18,36.76,40.44,6.62
2023,School for Excellence,General Academic,Living Environment,13,63.2,53.8,46.2,7.7,0.0,100.0,0.0,0.0
2020,School for Excellence,General Academic,Common Core English,19,61.0,42.1,57.9,10.5,0.0,0.0,100.0,0.0
2022,School for Excellence,General Academic,Living Environment,21,54.2,71.4,28.6,4.8,0.0,0.0,100.0,0.0
2023,School for Excellence,General Academic,Common Core English,37,65.35,43.21,56.79,18.92,0.0,48.65,51.35,0.0
2022,School for Excellence,General Academic,Common Core English,39,51.42,61.52,38.48,2.57,0.0,43.59,56.41,0.0
2022,School for Excellence,General Academic,Common Core Algebra,42,52.52,78.58,21.46,0.0,0.0,38.1,61.9,0.0
2020,School for Excellence,General Academic,Common Core Algebra,51,54.57,76.46,23.54,0.0,0.0,37.25,62.75,0.0
2023,School for Excellence,General Academic,Common Core Algebra,53,53.76,75.5,24.5,3.75,0.0,37.74,62.26,0.0
2020,The School for Human Rights,General Academic,Common Core English,24,71.0,29.2,70.8,29.2,0.0,100.0,0.0,0.0
2022,The School for Human Rights,General Academic,Living Environment,28,58.6,60.7,39.3,3.6,0.0,100.0,0.0,0.0
2023,The School for Human Rights,General Academic,Living Environment,28,59.8,53.6,46.4,10.7,0.0,100.0,0.0,0.0
2022,The School for Human Rights,General Academic,Common Core Algebra,30,53.8,76.7,23.3,0.0,0.0,100.0,0.0,0.0
2023,The School for Human Rights,General Academic,Common Core Algebra,35,58.9,62.9,37.1,11.4,0.0,100.0,0.0,0.0
2023,The School for Human Rights,General Academic,Common Core English,41,64.7,48.8,51.2,26.8,0.0,100.0,0.0,0.0
2020,The School for Human Rights,General Academic,Living Environment,42,52.4,81.0,19.0,0.0,0.0,100.0,0.0,0.0
2022,The School for Human Rights,General Academic,Common Core English,42,59.2,54.8,45.2,11.9,0.0,100.0,0.0,0.0
2020,The School for Human Rights,General Academic,Common Core Algebra,80,59.2,62.5,37.5,1.3,0.0,100.0,0.0,0.0
2020,Schuylerville Preparatory High School,General Academic,Common Core English,47,66.35,36.13,63.87,25.52,0.0,38.3,61.7,0.0
2020,Schuylerville Preparatory High School,General Academic,Common Core Algebra,58,48.92,91.41,8.59,0.0,0.0,17.24,82.76,0.0
2022,Schuylerville Preparatory High School,General Academic,Living Environment,62,59.06,62.92,37.11,9.69,0.0,25.81,61.29,12.9
2020,Schuylerville Preparatory High School,General Academic,Living Environment,66,51.73,89.38,10.62,0.0,12.12,24.24,63.64,0.0
2022,Schuylerville Preparatory High School,General Academic,Common Core Algebra,66,52.39,81.83,18.17,3.03,0.0,30.3,56.06,13.64
2023,Schuylerville Preparatory High School,General Academic,Living Environment,106,58.7,57.55,42.45,6.63,10.38,25.47,52.83,11.32
2023,Schuylerville Preparatory High School,General Academic,Common Core Algebra,113,54.4,73.47,26.53,1.77,8.85,26.55,55.75,8.85
2022,Schuylerville Preparatory High School,General Academic,Common Core English,133,64.36,37.59,62.41,34.61,0.0,23.31,63.16,13.53
2023,Schuylerville Preparatory High School,General Academic,Common Core English,151,56.53,56.31,43.69,11.89,6.62,31.13,53.64,8.61
2022,South Bronx Preparatory: A College Board School,General Academic,Common Core English,22,68.3,22.7,77.3,22.7,0.0,0.0,100.0,0.0
2023,South Bronx Preparatory: A College Board School,General Academic,Living Environment,61,70.1,24.6,75.4,19.7,0.0,0.0,100.0,0.0
2023,South Bronx Preparatory: A College Board School,General Academic,Common Core Algebra,75,66.7,24.0,76.0,10.7,0.0,0.0,100.0,0.0
2020,South Bronx Preparatory: A College Board School,General Academic,Common Core English,88,75.22,24.98,75.02,53.42,0.0,25.0,68.18,6.82
2022,South Bronx Preparatory: A College Board School,General Academic,Living Environment,92,66.78,38.04,61.96,8.74,0.0,22.83,77.17,0.0
2022,South Bronx Preparatory: A College Board School,General Academic,Common Core Algebra,96,65.1,37.52,62.48,5.19,0.0,21.88,78.12,0.0
2023,South Bronx Preparatory: A College Board School,General Academic,Common Core English,97,75.2,14.42,85.58,43.29,0.0,41.24,58.76,0.0
2020,South Brooklyn Community High School,Transfer School,Living Environment,13,57.5,69.2,30.8,7.7,0.0,0.0,100.0,0.0
2022,South Brooklyn Community High School,Transfer School,Common Core English,13,68.6,30.8,69.2,30.8,0.0,0.0,100.0,0.0
2023,South Brooklyn Community High School,Transfer School,Common Core Algebra,18,60.18,72.19,27.81,5.56,0.0,38.89,61.11,0.0
2023,South Brooklyn Community High School,Transfer School,Living Environment,22,55.27,77.27,22.73,4.55,0.0,27.27,72.73,0.0
2020,South Brooklyn Community High School,Transfer School,Common Core English,27,64.1,44.4,55.6,18.5,0.0,0.0,100.0,0.0
2020,South Brooklyn Community High School,Transfer School,Common Core Algebra,35,57.23,77.17,22.83,0.0,0.0,17.14,82.86,0.0
2023,South Brooklyn Community High School,Transfer School,Common Core English,53,57.91,60.41,39.59,9.42,0.0,32.08,67.92,0.0
2020,Spring Creek Community School,General Academic,Living Environment,28,50.6,92.9,7.1,0.0,0.0,100.0,0.0,0.0
2020,Spring Creek Community School,General Academic,Common Core English,51,71.91,31.38,68.62,41.17,0.0,86.27,13.73,0.0
2020,Spring Creek Community School,General Academic,Common Core Algebra,52,55.04,75.0,25.0,1.92,0.0,76.92,23.08,0.0
2022,Spring Creek Community School,General Academic,Living Environment,52,60.58,57.65,42.35,5.79,0.0,78.85,21.15,0.0
2023,Spring Creek Community School,General Academic,Living Environment,79,54.9,78.47,21.53,0.0,0.0,86.08,13.92,0.0
2022,Spring Creek Community School,General Academic,Common Core Algebra,79,55.91,68.35,31.65,0.0,0.0,78.48,21.52,0.0
2023,Spring Creek Community School,General Academic,Common Core English,83,65.23,42.14,57.86,12.06,0.0,75.9,24.1,0.0
2023,Spring Creek Community School,General Academic,Common Core Algebra,103,54.4,76.7,23.3,1.0,0.0,83.5,16.5,0.0
2020,Staten Island Technical High School,General Academic,Common Core Algebra,26,86.57,0.0,100.0,100.0,61.54,0.0,0.0,38.46
2023,Staten Island Technical High School,General Academic,Common Core Algebra,43,88.42,0.0,100.0,93.01,79.07,0.0,0.0,20.93
2022,Staten Island Technical High School,General Academic,Common Core Algebra,60,87.7,0.0,100.0,91.65,75.0,0.0,0.0,25.0
2022,Staten Island Technical High School,General Academic,Living Environment,69,90.82,0.0,100.0,97.13,71.01,0.0,0.0,28.99
2023,Staten Island Technical High School,General Academic,Living Environment,119,89.01,0.88,99.12,94.09,88.24,0.0,0.0,11.76
2020,Staten Island Technical High School,General Academic,Common Core English,319,94.05,0.0,100.0,98.72,53.29,0.0,3.76,42.95
2023,Staten Island Technical High School,General Academic,Common Core English,349,92.84,0.0,100.0,96.58,72.78,0.0,4.87,22.35
2020,Stephen T. Mather Building Arts & Craftsmanship High School,Career Technical,Common Core English,36,67.68,25.02,74.98,16.68,0.0,36.11,63.89,0.0
2020,Stephen T. Mather Building Arts & Craftsmanship High School,Career Technical,Living Environment,48,57.69,79.17,20.83,0.0,0.0,35.42,64.58,0.0
2020,Stephen T. Mather Building Arts & Craftsmanship High School,Career Technical,Common Core Algebra,52,60.02,57.7,42.3,1.9,0.0,34.62,65.38,0.0
2023,Stephen T. Mather Building Arts & Craftsmanship High School,Career Technical,Living Environment,67,57.64,68.68,31.32,7.45,0.0,34.33,65.67,0.0
2022,Stephen T. Mather Building Arts & Craftsmanship High School,Career Technical,Common Core English,70,63.37,40.03,59.97,18.55,0.0,30.0,70.0,0.0
2023,Stephen T. Mather Building Arts & Craftsmanship High School,Career Technical,Common Core Algebra,74,54.89,77.06,22.94,1.37,0.0,40.54,59.46,0.0
2022,Stephen T. Mather Building Arts & Craftsmanship High School,Career Technical,Living Environment,88,63.63,47.75,52.25,5.73,0.0,27.27,72.73,0.0
2023,Stephen T. Mather Building Arts & Craftsmanship High School,Career Technical,Common Core English,100,61.91,49.97,50.03,20.01,0.0,33.0,67.0,0.0
2022,Stephen T. Mather Building Arts & Craftsmanship High School,Career Technical,Common Core Algebra,136,57.04,68.37,31.63,2.91,0.0,27.21,72.79,0.0
2020,Stuyvesant High School,General Academic,Common Core Algebra,16,88.74,0.0,100.0,93.75,62.5,0.0,0.0,37.5
2021,Stuyvesant High School,General Academic,Common Core Algebra,22,92.2,0.0,100.0,100.0,100.0,0.0,0.0,0.0
2023,Stuyvesant High School,General Academic,Common Core Algebra,108,88.24,0.92,99.08,94.47,69.44,8.33,0.0,22.22
2022,Stuyvesant High School,General Academic,Common Core Algebra,169,89.36,0.0,100.0,98.8,59.76,4.73,5.33,30.18
2023,Stuyvesant High School,General Academic,Living Environment,292,92.14,0.0,100.0,98.31,66.44,3.08,7.53,22.95
2022,Stuyvesant High School,General Academic,Living Environment,305,92.54,0.0,100.0,98.03,73.11,2.62,3.61,20.66
2023,Stuyvesant High School,General Academic,Common Core English,722,94.31,0.0,100.0,99.03,78.12,2.49,3.46,15.93
2022,Stuyvesant High School,General Academic,Common Core English,815,92.39,0.0,100.0,98.55,75.09,0.0,3.93,20.98
2021,Sunset Park High School,General Academic,Living Environment,10,60.6,60.0,40.0,10.0,0.0,0.0,100.0,0.0
2022,Sunset Park High School,General Academic,Common Core English,29,57.4,58.6,41.4,6.9,0.0,0.0,100.0,0.0
2020,Sunset Park High School,General Academic,Living Environment,135,50.87,90.4,9.6,0.74,9.63,0.0,82.96,7.41
2020,Sunset Park High School,General Academic,Common Core Algebra,163,51.85,82.86,17.14,0.59,7.36,0.0,84.05,8.59
2022,Sunset Park High School,General Academic,Living Environment,240,64.28,44.61,55.39,14.61,19.17,0.0,70.83,10.0
2020,Sunset Park High School,General Academic,Common Core English,272,69.32,31.25,68.75,40.45,12.13,0.0,77.21,10.66
2023,Sunset Park High School,General Academic,Living Environment,274,56.45,69.36,30.64,7.31,11.31,4.74,78.47,5.47
2023,Sunset Park High School,General Academic,Common Core English,310,68.53,30.98,69.02,33.55,16.77,8.39,74.84,0.0
2022,Sunset Park High School,General Academic,Common Core Algebra,478,61.04,55.05,44.95,7.96,17.15,6.9,67.99,7.95
2023,Sunset Park High School,General Academic,Common Core Algebra,529,59.11,61.6,38.4,7.36,10.21,5.29,79.02,5.48
2022,Susan E. Wagner High School,General Academic,Common Core English,38,66.43,34.21,65.79,36.86,0.0,15.79,52.63,31.58
2020,Susan E. Wagner High School,General Academic,Living Environment,148,49.8,88.5,11.5,0.69,0.0,14.86,53.38,31.76
2020,Susan E. Wagner High School,General Academic,Common Core Algebra,246,55.07,72.78,27.22,1.65,0.0,15.85,50.81,33.33
2022,Susan E. Wagner High School,General Academic,Common Core Algebra,492,64.09,45.35,54.65,8.15,18.9,11.79,37.6,31.71
2022,Susan E. Wagner High School,General Academic,Living Environment,505,71.46,25.93,74.07,32.25,20.99,9.5,35.25,34.26
2023,Susan E. Wagner High School,General Academic,Living Environment,548,68.61,38.13,61.87,29.58,22.45,9.49,40.15,27.92
2023,Susan E. Wagner High School,General Academic,Common Core Algebra,581,59.87,59.22,40.78,9.66,17.56,11.19,45.44,25.82
2023,Susan E. Wagner High School,General Academic,Common Core English,767,82.34,9.28,90.72,65.59,20.47,7.82,32.86,38.85
2020,Susan E. Wagner High School,General Academic,Common Core English,788,82.52,10.78,89.22,71.81,15.74,8.38,26.27,49.62
2021,Talent Unlimited High School,General Academic,Living Environment,14,70.7,35.7,64.3,35.73,0.0,0.0,57.14,42.86
2023,Talent Unlimited High School,General Academic,Common Core English,197,76.31,13.71,86.29,45.17,4.57,22.84,57.87,14.72
2020,Talent Unlimited High School,General Academic,Living Environment,22,55.55,81.8,18.2,0.0,0.0,50.0,50.0,0.0
2020,Talent Unlimited High School,General Academic,Common Core Algebra,25,59.84,56.04,43.96,4.0,0.0,48.0,52.0,0.0
2022,Talent Unlimited High School,General Academic,Living Environment,63,69.54,31.76,68.24,28.56,0.0,28.57,71.43,0.0
2021,Talent Unlimited High School,General Academic,Common Core English,68,84.43,2.91,97.09,70.58,0.0,33.82,48.53,17.65
2023,Talent Unlimited High School,General Academic,Common Core Algebra,80,69.82,27.48,72.52,26.27,0.0,12.5,65.0,22.5
2022,Talent Unlimited High School,General Academic,Common Core Algebra,84,70.07,27.38,72.62,19.05,8.33,21.43,59.52,10.71
2023,Talent Unlimited High School,General Academic,Living Environment,84,71.03,24.98,75.02,28.57,0.0,20.24,58.33,21.43
2022,Talent Unlimited High School,General Academic,Common Core English,89,78.49,9.01,90.99,51.68,0.0,28.09,48.31,23.6
2020,Talent Unlimited High School,General Academic,Common Core English,99,88.33,2.03,97.97,88.86,0.0,34.34,51.52,14.14
2022,Teachers Preparatory High School,General Academic,Common Core English,16,59.6,50.0,50.0,12.5,0.0,100.0,0.0,0.0
2022,Teachers Preparatory High School,General Academic,Common Core Algebra,20,44.5,95.0,5.0,0.0,0.0,100.0,0.0,0.0
2020,Teachers Preparatory High School,General Academic,Living Environment,20,54.5,80.0,20.0,0.0,0.0,100.0,0.0,0.0
2020,Teachers Preparatory High School,General Academic,Common Core Algebra,34,53.7,70.6,29.4,0.0,0.0,100.0,0.0,0.0
2022,Teachers Preparatory High School,General Academic,Living Environment,40,56.83,70.0,29.99,2.5,0.0,67.5,32.5,0.0
2023,Teachers Preparatory High School,General Academic,Living Environment,43,57.32,69.74,30.26,4.67,0.0,60.47,39.53,0.0
2020,Teachers Preparatory High School,General Academic,Common Core English,51,57.88,52.97,47.03,17.65,0.0,80.39,19.61,0.0
2023,Teachers Preparatory High School,General Academic,Common Core Algebra,52,56.19,71.14,28.86,0.0,0.0,61.54,38.46,0.0
2023,Teachers Preparatory High School,General Academic,Common Core English,61,51.5,67.2,32.8,8.19,0.0,68.85,31.15,0.0
2020,The Academy of Urban Planning and Engineering,General Academic,Living Environment,32,53.86,74.99,25.01,0.0,0.0,21.88,78.12,0.0
2020,The Academy of Urban Planning and Engineering,General Academic,Common Core English,58,47.4,63.8,36.2,13.8,0.0,0.0,100.0,0.0
2022,The Academy of Urban Planning and Engineering,General Academic,Common Core Algebra,67,51.35,88.03,11.97,0.0,0.0,19.4,80.6,0.0
2023,The Academy of Urban Planning and Engineering,General Academic,Living Environment,82,60.71,54.91,45.11,7.35,0.0,19.51,80.49,0.0
2022,The Academy of Urban Planning and Engineering,General Academic,Common Core English,100,62.71,45.03,54.97,38.02,0.0,23.0,77.0,0.0
2023,The Academy of Urban Planning and Engineering,General Academic,Common Core Algebra,124,58.68,58.04,41.96,1.59,0.0,24.19,75.81,0.0
2020,The Academy of Urban Planning and Engineering,General Academic,Common Core Algebra,129,57.51,62.79,37.21,1.55,0.0,26.36,73.64,0.0
2022,The Academy of Urban Planning and Engineering,General Academic,Living Environment,131,65.29,41.99,58.01,11.44,0.0,12.98,80.92,6.11
2023,The Academy of Urban Planning and Engineering,General Academic,Common Core English,142,62.44,45.06,54.94,21.84,0.0,16.9,77.46,5.63
2020,The Boerum Hill School for International Studies,General Academic,Living Environment,16,51.98,87.51,12.49,0.0,0.0,56.25,43.75,0.0
2020,The Boerum Hill School for International Studies,General Academic,Common Core Algebra,59,57.21,69.52,30.48,0.0,0.0,44.07,35.59,20.34
2020,The Boerum Hill School for International Studies,General Academic,Common Core English,72,62.33,43.08,56.92,26.4,0.0,37.5,31.94,30.56
2023,The Boerum Hill School for International Studies,General Academic,Living Environment,90,63.18,48.88,51.12,25.57,7.78,35.56,21.11,35.56
2022,The Boerum Hill School for International Studies,General Academic,Living Environment,95,65.15,42.11,57.89,15.78,0.0,31.58,32.63,35.79
2023,The Boerum Hill School for International Studies,General Academic,Common Core Algebra,117,62.06,50.44,49.56,8.51,0.0,27.35,30.77,41.88
2022,The Boerum Hill School for International Studies,General Academic,Common Core Algebra,148,58.66,60.14,39.86,7.45,0.0,30.41,19.59,50.0
2023,The Boerum Hill School for International Studies,General Academic,Common Core English,170,68.02,33.53,66.47,30.01,4.12,28.24,25.88,41.76
2022,The Boerum Hill School for International Studies,General Academic,Common Core English,204,68.82,27.44,72.56,31.38,2.94,25.98,24.51,46.57
2020,The Bronxwood Preparatory Academy,General Academic,Common Core English,23,72.6,13.0,87.0,34.8,0.0,100.0,0.0,0.0
2020,The Bronxwood Preparatory Academy,General Academic,Living Environment,36,52.86,77.79,22.21,0.0,0.0,58.33,41.67,0.0
2020,The Bronxwood Preparatory Academy,General Academic,Common Core Algebra,46,60.1,47.79,52.21,0.0,0.0,60.87,39.13,0.0
2022,The Bronxwood Preparatory Academy,General Academic,Living Environment,74,56.67,71.61,28.39,4.04,0.0,60.81,39.19,0.0
2022,The Bronxwood Preparatory Academy,General Academic,Common Core Algebra,81,55.49,77.78,22.22,0.0,0.0,58.02,41.98,0.0
2022,The Bronxwood Preparatory Academy,General Academic,Common Core English,96,59.25,48.94,51.06,15.61,0.0,55.21,44.79,0.0
2023,The Bronxwood Preparatory Academy,General Academic,Living Environment,113,55.79,67.22,32.78,7.1,0.0,58.41,41.59,0.0
2023,The Bronxwood Preparatory Academy,General Academic,Common Core Algebra,129,58.96,59.68,40.32,2.34,0.0,57.36,42.64,0.0
2023,The Bronxwood Preparatory Academy,General Academic,Common Core English,133,62.42,45.13,54.87,15.81,0.0,59.4,40.6,0.0
2020,The Brooklyn Academy of Global Finance,General Academic,Common Core English,20,47.8,75.0,25.0,10.0,0.0,100.0,0.0,0.0
2020,The Brooklyn Academy of Global Finance,General Academic,Living Environment,30,46.04,100.0,0.0,0.0,20.0,80.0,0.0,0.0
2020,The Brooklyn Academy of Global Finance,General Academic,Common Core Algebra,31,53.2,77.4,22.6,0.0,0.0,100.0,0.0,0.0
2022,The Brooklyn Academy of Global Finance,General Academic,Living Environment,33,59.98,54.54,45.46,18.15,0.0,45.45,54.55,0.0
2022,The Brooklyn Academy of Global Finance,General Academic,Common Core English,37,50.97,67.57,32.43,10.82,0.0,70.27,29.73,0.0
2022,The Brooklyn Academy of Global Finance,General Academic,Common Core Algebra,40,52.5,80.0,20.0,0.0,0.0,50.0,50.0,0.0
2023,The Brooklyn Academy of Global Finance,General Academic,Living Environment,53,55.32,66.05,33.95,3.73,0.0,56.6,43.4,0.0
2023,The Brooklyn Academy of Global Finance,General Academic,Common Core English,59,57.67,50.82,49.18,15.23,0.0,54.24,45.76,0.0
2023,The Brooklyn Academy of Global Finance,General Academic,Common Core Algebra,60,50.32,84.98,15.02,0.0,0.0,51.67,48.33,0.0
2022,The Brooklyn School for Social Justice,General Academic,Living Environment,47,52.62,74.47,25.53,2.13,0.0,14.89,85.11,0.0
2022,The Brooklyn School for Social Justice,General Academic,Common Core Algebra,52,53.62,80.74,19.26,0.0,0.0,19.23,80.77,0.0
2020,The Brooklyn School for Social Justice,General Academic,Common Core Algebra,55,52.1,85.5,14.5,0.0,0.0,0.0,100.0,0.0
2023,The Brooklyn School for Social Justice,General Academic,Living Environment,55,53.5,78.2,21.8,3.6,0.0,0.0,100.0,0.0
2020,The Brooklyn School for Social Justice,General Academic,Living Environment,80,53.07,82.49,17.51,2.5,0.0,13.75,86.25,0.0
2022,The Brooklyn School for Social Justice,General Academic,Common Core English,85,58.3,54.1,45.9,10.6,0.0,20.0,80.0,0.0
2020,The Brooklyn School for Social Justice,General Academic,Common Core English,108,53.26,56.44,43.56,13.91,0.0,15.74,84.26,0.0
2023,The Brooklyn School for Social Justice,General Academic,Common Core English,174,63.81,47.73,52.27,29.31,0.0,13.79,86.21,0.0
2023,The Brooklyn School for Social Justice,General Academic,Common Core Algebra,190,57.02,66.81,33.19,1.06,0.0,10.53,89.47,0.0
2020,The Cinema School,General Academic,Common Core Algebra,22,52.0,90.9,9.1,0.0,0.0,0.0,100.0,0.0
2020,The Cinema School,General Academic,Living Environment,24,55.0,70.8,29.2,4.2,0.0,0.0,100.0,0.0
2022,The Cinema School,General Academic,Common Core Algebra,53,61.3,56.6,43.4,1.9,0.0,0.0,100.0,0.0
2020,The Cinema School,General Academic,Common Core English,70,75.19,19.98,80.02,50.03,0.0,15.71,84.29,0.0
2022,The Cinema School,General Academic,Living Environment,71,69.59,29.61,70.39,23.92,0.0,25.35,74.65,0.0
2023,The Cinema School,General Academic,Common Core Algebra,82,56.98,67.09,32.91,4.89,0.0,17.07,82.93,0.0
2023,The Cinema School,General Academic,Living Environment,83,58.91,60.21,39.79,10.87,0.0,9.64,90.36,0.0
2023,The Cinema School,General Academic,Common Core English,88,67.89,32.97,67.03,18.18,0.0,17.05,82.95,0.0
2022,The Cinema School,General Academic,Common Core English,101,67.97,25.71,74.29,26.72,0.0,22.77,77.23,0.0
2020,The Eagle Academy for Young Men of Staten Island,General Academic,Common Core Algebra,10,48.5,100.0,0.0,0.0,0.0,100.0,0.0,0.0
2023,The Eagle Academy for Young Men of Staten Island,General Academic,Living Environment,20,50.0,90.0,10.0,0.0,0.0,100.0,0.0,0.0
2023,The Eagle Academy for Young Men of Staten Island,General Academic,Common Core Algebra,22,53.5,81.8,18.2,0.0,0.0,100.0,0.0,0.0
2022,The Eagle Academy for Young Men of Staten Island,General Academic,Common Core English,22,64.04,36.39,63.61,27.26,0.0,63.64,36.36,0.0
2022,The Eagle Academy for Young Men of Staten Island,General Academic,Common Core Algebra,24,51.33,83.37,16.7,0.0,0.0,66.67,33.33,0.0
2022,The Eagle Academy for Young Men of Staten Island,General Academic,Living Environment,25,52.08,75.98,24.02,0.0,0.0,72.0,28.0,0.0
2023,The Eagle Academy for Young Men of Staten Island,General Academic,Common Core English,36,65.94,33.32,66.68,19.42,0.0,52.78,47.22,0.0
2022,The Global Learning Collaborative,General Academic,Living Environment,46,72.39,19.53,80.47,23.89,0.0,26.09,73.91,0.0
2020,The Global Learning Collaborative,General Academic,Living Environment,61,51.09,86.87,13.13,0.0,0.0,27.87,72.13,0.0
2022,The Global Learning Collaborative,General Academic,Common Core Algebra,74,53.82,77.07,22.93,2.72,0.0,24.32,75.68,0.0
2020,The Global Learning Collaborative,General Academic,Common Core English,91,66.27,34.03,65.97,32.95,0.0,27.47,72.53,0.0
2023,The Global Learning Collaborative,General Academic,Living Environment,94,57.95,60.61,39.39,5.3,0.0,20.21,79.79,0.0
2020,The Global Learning Collaborative,General Academic,Common Core Algebra,104,54.99,73.08,26.92,0.0,0.0,23.08,76.92,0.0
2022,The Global Learning Collaborative,General Academic,Common Core English,108,61.03,46.27,53.74,14.8,0.0,14.81,85.19,0.0
2023,The Global Learning Collaborative,General Academic,Common Core Algebra,127,60.08,54.31,45.69,3.18,0.0,20.47,79.53,0.0
2023,The Global Learning Collaborative,General Academic,Common Core English,151,65.04,39.73,60.27,12.56,0.0,20.53,72.85,6.62
2022,The High School for Climate Justice,General Academic,Living Environment,13,60.5,61.5,38.5,0.0,0.0,0.0,100.0,0.0
2020,The High School for Climate Justice,General Academic,Common Core English,14,65.5,42.9,57.1,28.6,0.0,0.0,100.0,0.0
2020,The High School for Climate Justice,General Academic,Common Core Algebra,26,58.1,61.5,38.5,0.0,0.0,0.0,100.0,0.0
2020,The High School for Climate Justice,General Academic,Living Environment,35,55.84,74.29,25.71,0.0,0.0,28.57,71.43,0.0
2023,The High School for Climate Justice,General Academic,Living Environment,43,61.27,51.15,48.85,6.98,16.28,16.28,67.44,0.0
2023,The High School for Climate Justice,General Academic,Common Core Algebra,56,57.92,62.51,37.49,1.8,0.0,33.93,66.07,0.0
2022,The High School for Climate Justice,General Academic,Common Core English,59,64.4,32.17,67.83,28.78,10.17,38.98,50.85,0.0
2023,The High School for Climate Justice,General Academic,Common Core English,60,70.16,31.66,68.34,38.37,0.0,21.67,78.33,0.0
2022,The High School for Climate Justice,General Academic,Common Core Algebra,71,56.03,68.99,31.01,2.83,11.27,23.94,64.79,0.0
2022,"The High School of Enterprise, Business, and Technology",General Academic,Common Core English,52,74.9,21.14,78.86,48.1,13.46,23.08,63.46,0.0
2022,"The High School of Enterprise, Business, and Technology",General Academic,Living Environment,54,65.01,40.72,59.28,16.67,0.0,27.78,72.22,0.0
2020,"The High School of Enterprise, Business, and Technology",General Academic,Living Environment,70,53.21,78.55,21.45,0.0,0.0,22.86,77.14,0.0
2020,"The High School of Enterprise, Business, and Technology",General Academic,Common Core Algebra,89,54.19,73.0,27.0,0.0,0.0,21.35,78.65,0.0
2023,"The High School of Enterprise, Business, and Technology",General Academic,Living Environment,90,54.12,73.36,26.64,6.66,0.0,17.78,82.22,0.0
