Year,School Name,School Type,Regents Exam,Total Tested,Mean Score,Percent Scoring Below 65,Percent Scoring 65 or Above,Percent Scoring 80 or Above,Asian%,Black%,Hispanic%,White%
2022,Academy of American Studies,General Academic,Common Core Algebra,190,67.98,33.19,66.85,20.52,27.89,0.0,42.11,30.0
2023,Academy of American Studies,General Academic,Common Core Algebra,191,67.63,34.03,65.97,15.72,21.99,0.0,45.55,32.46
2022,Academy of American Studies,General Academic,Living Environment,203,72.99,25.12,74.88,31.54,25.12,3.45,40.39,31.03
2023,Academy of American Studies,General Academic,Living Environment,211,75.14,22.26,77.74,44.06,23.22,0.0,42.65,34.12
2023,Academy of American Studies,General Academic,Common Core English,373,79.47,13.92,86.08,58.41,23.32,0.0,37.8,38.87
2022,Academy of American Studies,General Academic,Common Core English,391,80.78,10.74,89.26,71.08,27.88,2.81,36.06,33.25
2020,Academy of Finance and Enterprise,General Academic,Living Environment,10,66.1,40.0,60.0,10.0,0.0,0.0,100.0,0.0
2021,Academy of Finance and Enterprise,General Academic,Common Core Algebra,10,68.2,40.0,60.0,10.0,0.0,0.0,100.0,0.0
2021,Academy of Finance and Enterprise,General Academic,Common Core English,12,92.75,0.0,100.0,100.0,50.0,0.0,50.0,0.0
2021,Academy of Finance and Enterprise,General Academic,Living Environment,14,64.8,35.7,64.3,14.3,0.0,0.0,100.0,0.0
2020,Academy of Finance and Enterprise,General Academic,Common Core Algebra,48,73.07,18.73,81.27,39.63,33.33,0.0,66.67,0.0
2023,Academy of Finance and Enterprise,General Academic,Common Core Algebra,99,69.98,24.27,75.79,21.24,15.15,9.09,64.65,11.11
2020,Academy of Finance and Enterprise,General Academic,Common Core English,114,85.02,2.63,97.37,79.85,32.46,0.0,49.12,18.42
2022,Academy of Finance and Enterprise,General Academic,Common Core Algebra,121,66.96,39.69,60.31,14.08,21.49,0.0,67.77,10.74
2023,Academy of Finance and Enterprise,General Academic,Living Environment,124,69.36,33.09,66.91,20.19,16.13,8.87,63.71,11.29
2022,Academy of Finance and Enterprise,General Academic,Living Environment,128,70.18,33.6,66.4,29.66,21.88,0.0,67.19,10.94
2022,Academy of Finance and Enterprise,General Academic,Common Core English,147,90.89,0.0,100.0,92.53,30.61,0.0,57.82,11.56
