,,,,,,,,,,
DBN,School Name,Grade Level,Program Type,Department,Subject,Number of Students,Number of Classes,Average Class Size,Minimum Class Size,Maximum Class Size
02M131,MS 131,MS Core,ICT,Social Studies,MS Social Studies Core,78,3,26.0,25.0,27.0
02M131,MS 131,MS Core,SC,English,MS English Core,28,3,9.3,6.0,12.0
02M131,MS 131,MS Core,SC,Math,MS Math Core,28,3,9.3,6.0,12.0
02M131,MS 131,MS Core,SC,Science,MS Science Core,28,3,9.3,6.0,12.0
02M131,MS 131,MS Core,SC,Social Studies,MS Social Studies Core,28,3,9.3,6.0,12.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,Gen Ed,English,HS English 09,21,1,21.0,21.0,21.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,Gen Ed,English,HS English 10,26,1,26.0,26.0,26.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,Gen Ed,English,HS English Other,68,3,22.7,<15,28.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,Gen Ed,Math,HS Algebra I,32,2,16.0,<15,24.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,Gen Ed,Math,HS Algebra II,29,1,29.0,29.0,29.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,Gen Ed,Math,HS Geometry,41,2,20.5,<15,31.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,Gen Ed,Math,HS Math Other,27,1,27.0,27.0,27.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,Gen Ed,Math,HS Statistics,25,1,25.0,25.0,25.0
