DBN,School Name,Regents Exam,Exam,Year,Mean Score,Total Tested,Black_Percent,Hispanic_Percent,Asian_Percent,White_Percent,Teacher_Count,School Type,CTE,Transfer,ELL_Percent,EconDisadvantaged_Pct,SpecialEd_Pct,Homeless_Pct,NeedsIndex,ATTENDANCE_RATE,ClassSize_Algebra,ClassSize_Biology,ClassSize,NYSED_School_Name,INSTITUTION_ID,latitude,longitude,ZIP Code,Neighborhood
71M316,Urban Assembly School of Business for Young Women,Common Core Algebra,Algebra_I,2022,59.5,10,0.0,100.0,0.0,0.0,9,General Academic,0.0,0.0,11.0,90.0,17.0,14.0,1.0,75.0,10.0,15.0,10.0,URBAN SCH-BUSINESS-YNG WOMEN,800000059122.0,40.705688,-74.013303,10004,Lower Manhattan
71M369,Urban Assembly School for the Performing Arts,Common Core English,ELA,2022,71.26,20,70.0,30.0,0.0,0.0,24,General Academic,0.0,0.0,6.0,87.0,26.0,15.0,1.0,76.0,14.0,20.0,17.0,URBAN ASSEMBLY FOR THE PERFORM ARTS,800000059618.0,40.815747,-73.95552,10027,Central Harlem - Morningside Heights
71M369,Urban Assembly School for the Performing Arts,Common Core Algebra,Algebra_I,2022,53.9,28,100.0,0.0,0.0,0.0,24,General Academic,0.0,0.0,6.0,87.0,26.0,15.0,1.0,76.0,14.0,20.0,14.0,URBAN ASSEMBLY FOR THE PERFORM ARTS,800000059618.0,40.815747,-73.95552,10027,Central Harlem - Morningside Heights
71M369,Urban Assembly School for the Performing Arts,Living Environment,Living_Env,2022,55.74,41,51.22,48.78,0.0,0.0,24,General Academic,0.0,0.0,6.0,87.0,26.0,15.0,1.0,76.0,14.0,20.0,20.0,URBAN ASSEMBLY FOR THE PERFORM ARTS,800000059618.0,40.815747,-73.95552,10027,Central Harlem - Morningside Heights
71M374,Gramercy Arts High School,Common Core English,ELA,2022,79.35,47,34.04,53.19,12.77,0.0,37,General Academic,0.0,0.0,3.0,82.0,19.0,5.0,1.0,82.0,25.0,28.0,26.5,GRAMERCY ARTS HIGH SCHOOL,800000062347.0,40.735361,-73.987064,10003,Union Square - Lower East Side
71M374,Gramercy Arts High School,Common Core Algebra,Algebra_I,2022,65.71,126,28.57,64.29,0.0,7.14,37,General Academic,0.0,0.0,3.0,82.0,19.0,5.0,1.0,82.0,25.0,28.0,25.0,GRAMERCY ARTS HIGH SCHOOL,800000062347.0,40.735361,-73.987064,10003,Union Square - Lower East Side
71M374,Gramercy Arts High School,Living Environment,Living_Env,2022,68.62,127,29.92,62.2,0.0,7.87,37,General Academic,0.0,0.0,3.0,82.0,19.0,5.0,1.0,82.0,25.0,28.0,28.0,GRAMERCY ARTS HIGH SCHOOL,800000062347.0,40.735361,-73.987064,10003,Union Square - Lower East Side
71M376,NYC iSchool,Living Environment,Living_Env,2022,71.6,18,0.0,55.56,0.0,44.44,37,General Academic,0.0,0.0,1.0,50.0,25.0,4.0,1.0,87.0,36.0,27.0,27.0,NYC ISCHOOL,800000062349.0,40.72463,-74.005058,10013,Greenwich Village - SoHo
71M376,NYC iSchool,Common Core Algebra,Algebra_I,2022,72.8,49,20.41,38.78,12.24,28.57,37,General Academic,0.0,0.0,1.0,50.0,25.0,4.0,1.0,87.0,36.0,27.0,36.0,NYC ISCHOOL,800000062349.0,40.72463,-74.005058,10013,Greenwich Village - SoHo
71M376,NYC iSchool,Common Core English,ELA,2022,85.31,102,17.65,27.45,8.82,46.08,37,General Academic,0.0,0.0,1.0,50.0,25.0,4.0,1.0,87.0,36.0,27.0,31.5,NYC ISCHOOL,800000062349.0,40.72463,-74.005058,10013,Greenwich Village - SoHo
71M392,Manhattan Business Academy,Living Environment,Living_Env,2022,60.03,62,32.26,67.74,0.0,0.0,32,General Academic,0.0,0.0,11.0,90.0,23.0,13.0,1.0,77.0,28.0,27.0,27.0,MANHATTAN BUSINESS ACADEMY,800000065452.0,40.743407,-74.00254,10011,Chelsea - Clinton
71M392,Manhattan Business Academy,Common Core Algebra,Algebra_I,2022,60.97,87,33.33,57.47,9.2,0.0,32,General Academic,0.0,0.0,11.0,90.0,23.0,13.0,1.0,77.0,28.0,27.0,28.0,MANHATTAN BUSINESS ACADEMY,800000065452.0,40.743407,-74.00254,10011,Chelsea - Clinton
71M393,Business Of Sports School,Common Core English,ELA,2022,67.15,18,38.89,61.11,0.0,0.0,37,Career Technical,1.0,0.0,9.0,85.0,23.0,13.0,1.0,81.0,18.0,20.0,19.0,BUSINESS OF SPORTS SCHOOL,800000065453.0,40.763655,-73.990318,10019,Chelsea - Clinton
71M393,Business Of Sports School,Living Environment,Living_Env,2022,57.44,80,33.75,66.25,0.0,0.0,37,Career Technical,1.0,0.0,9.0,85.0,23.0,13.0,1.0,81.0,18.0,20.0,20.0,BUSINESS OF SPORTS SCHOOL,800000065453.0,40.763655,-73.990318,10019,Chelsea - Clinton
71M393,Business Of Sports School,Common Core Algebra,Algebra_I,2022,55.29,85,34.12,65.88,0.0,0.0,37,Career Technical,1.0,0.0,9.0,85.0,23.0,13.0,1.0,81.0,18.0,20.0,18.0,BUSINESS OF SPORTS SCHOOL,800000065453.0,40.763655,-73.990318,10019,Chelsea - Clinton
71M394,Emma Lazarus High School,Living Environment,Living_Env,2022,82.8,14,0.0,0.0,100.0,0.0,18,Transfer School,0.0,1.0,93.0,87.0,1.0,14.0,1.0,91.0,15.0,23.0,23.0,EMMA LAZARUS HIGH SCHOOL,800000065454.0,40.716231,-73.993607,10002,Union Square - Lower East Side
71M394,Emma Lazarus High School,Common Core English,ELA,2022,71.7,22,50.0,0.0,50.0,0.0,18,Transfer School,0.0,1.0,93.0,87.0,1.0,14.0,1.0,91.0,15.0,23.0,19.0,EMMA LAZARUS HIGH SCHOOL,800000065454.0,40.716231,-73.993607,10002,Union Square - Lower East Side
71M394,Emma Lazarus High School,Common Core Algebra,Algebra_I,2022,74.92,27,0.0,48.15,51.85,0.0,18,Transfer School,0.0,1.0,93.0,87.0,1.0,14.0,1.0,91.0,15.0,23.0,15.0,EMMA LAZARUS HIGH SCHOOL,800000065454.0,40.716231,-73.993607,10002,Union Square - Lower East Side
71M399,The High School For Language And Diplomacy,Living Environment,Living_Env,2022,68.3,10,0.0,100.0,0.0,0.0,15,General Academic,0.0,0.0,10.0,76.0,19.0,12.0,1.0,77.0,14.0,16.0,16.0,HIGH SCHOOL-LANGUAGE AND DIPLOMACY,800000065456.0,40.735361,-73.987064,10003,Union Square - Lower East Side
