DBN,Location_Code,School_Name,latitude,longitude,formatted_address,ZIP Code,Neighborhood,Borough_Code_Derived,Borough_Derived,District_Derived
71M519,M519,TALENT UNLIMITED HIGH SCHOOL,40.765638,-73.959777,319 EAST 67 STREET,10065,Upper East Side,M,Manhattan,71
71M519,M519,TALENT UNLIMITED HIGH SCHOOL,40.765638,-73.959777,326 EAST 67 STREET,10065,Upper East Side,M,Manhattan,71
71M519,M519,TALENT UNLIMITED HIGH SCHOOL,40.765638,-73.959777,328 EAST 67 STREET,10065,Upper East Side,M,Manhattan,71
71M519,M519,TALENT UNLIMITED HIGH SCHOOL,40.765638,-73.959777,329 EAST 67 STREET,10065,Upper East Side,M,Manhattan,71
71M519,M519,TALENT UNLIMITED HIGH SCHOOL,40.765638,-73.959777,331 EAST 67 STREET,10065,Upper East Side,M,Manhattan,71
71M519,M519,TALENT UNLIMITED HIGH SCHOOL,40.765638,-73.959777,332 EAST 67 STREET,10065,Upper East Side,M,Manhattan,71
71M519,M519,TALENT UNLIMITED HIGH SCHOOL,40.765638,-73.959777,333 EAST 67 STREET,10065,Upper East Side,M,Manhattan,71
71M519,M519,TALENT UNLIMITED HIGH SCHOOL,40.765638,-73.959777,334 EAST 67 STREET,10065,Upper East Side,M,Manhattan,71
71M519,M519,TALENT UNLIMITED HIGH SCHOOL,40.765638,-73.959777,337 EAST 67 STREET,10065,Upper East Side,M,Manhattan,71
71M519,M519,TALENT UNLIMITED HIGH SCHOOL,40.765638,-73.959777,338 EAST 67 STREET,10065,Upper East Side,M,Manhattan,71
71M519,M519,TALENT UNLIMITED HIGH SCHOOL,40.765638,-73.959777,340 EAST 67 STREET,10065,Upper East Side,M,Manhattan,71
71M519,M519,TALENT UNLIMITED HIGH SCHOOL,40.765638,-73.959777,342 EAST 67 STREET,10065,Upper East Side,M,Manhattan,71
71M519,M519,TALENT UNLIMITED HIGH SCHOOL,40.765638,-73.959777,343 EAST 67 STREET,10065,Upper East Side,M,Manhattan,71
71M519,M519,TALENT UNLIMITED HIGH SCHOOL,40.765638,-73.959777,344 EAST 67 STREET,10065,Upper East Side,M,Manhattan,71
71M519,M519,TALENT UNLIMITED HIGH SCHOOL,40.765638,-73.959777,345 EAST 67 STREET,10065,Upper East Side,M,Manhattan,71
71M519,M519,TALENT UNLIMITED HIGH SCHOOL,40.765638,-73.959777,348 EAST 67 STREET,10065,Upper East Side,M,Manhattan,71
71M519,M519,TALENT UNLIMITED HIGH SCHOOL,40.765638,-73.959777,351 EAST 67 STREET,10065,Upper East Side,M,Manhattan,71
71M520,M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,40.711441,-74.000851,411 PEARL STREET,10038,Lower Manhattam,M,Manhattan,71
71M529,M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,40.757626,-73.98346,120 WEST 46 STREET,10036,Chelsea - Clinton,M,Manhattan,71
71M533,M533,UNION SQUARE ACADEMY FOR HEALTH SCIENCES,40.735361,-73.987064,40 IRVING PLACE,10003,Union Square - Lower East Side,M,Manhattan,71
71M534,M534,HARVEST COLLEGIATE HIGH SCHOOL,40.736416,-73.995731,34 WEST 14 STREET,10011,Chelsea - Clinton,M,Manhattan,71
71M540,M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,40.8185,-73.949929,443 WEST 135 STREET,10031,Washington Heights - Inwood,M,Manhattan,71
71M542,M542,MANHATTAN BRIDGES HIGH SCHOOL,40.765474,-73.9927,525 WEST 50 STREET,10019,Chelsea - Clinton,M,Manhattan,71
71M543,M543,NEW DESIGN HIGH SCHOOL,40.717329,-73.989329,350 GRAND STREET,10002,Union Square - Lower East Side,M,Manhattan,71
71M544,M544,INDEPENDENCE HIGH SCHOOL,40.767848,-73.98861,850 10TH AVENUE,10019,Chelsea - Clinton,M,Manhattan,71
