Year,DBN,Teachers,American Indian/Alaskan Native (AI/AN) Count,AI/AN Average Years in Title,AI/AN Average Years at School,Asian Count,Asian Average Years in Title,Asian Average Years at School,Black/African American (B/AA) Count,B/AA Years in Title,B/AA Years at School,Hawaiian/Pacific Islander (H/PI) Count,H/PI Average Years in Title,H/PI Average Years at School,Hispanic Count,Hispanic Average Years in Title,Hispanic Average Years at School,White Count,White Average Years in Title,White Average Years at School,Multiple Count,Multiple Average Years in Title,Multiple Average Years at School,Unknown/Other Count,Unknown/Other Average Years in Title,Unknown/Other Average Years at School
2020,05M194,22,*,*,*,*,,,11,8.1,2.1,*,*,*,*,,,7,6.4,2.3,*,*,*,*,,
2020,05M197,34,*,*,*,*,,,21,17.5,12,*,*,*,*,,,9,6.4,3.5,*,*,*,*,,
2020,05M200,36,*,*,*,*,,,28,17.1,12.2,*,*,*,*,,,*,,,*,*,*,*,,
2020,05M286,15,*,*,*,*,,,8,14.2,5.5,*,*,*,5,14.7,6.7,*,,,*,*,*,*,,
2020,05M318,16,*,*,*,*,,,9,10.1,7,*,*,*,*,,,*,,,*,*,*,*,,
2020,05M362,48,*,*,*,5,9.3,3.3,*,,,*,*,*,*,,,36,8,4.5,*,*,*,*,,
2020,05M514,20,*,*,*,*,,,8,3.2,2.3,*,*,*,*,,,7,9.1,3.2,*,*,*,*,,
2020,05M517,29,*,*,*,6,4.2,2.7,*,,,*,*,*,5,14.4,4.2,13,4.5,1.1,*,*,*,*,,
2020,06M004,44,*,*,*,*,,,10,17.7,16.5,*,*,*,20,13.3,10.1,11,12.1,4.8,*,*,*,*,,
2020,06M005,52,*,*,*,*,,,6,18.8,17.1,*,*,*,28,15.5,13.1,15,10,8.7,*,*,*,*,,
2020,06M008,42,*,*,*,*,,,*,,,*,*,*,25,15.1,11.6,13,10.5,9,*,*,*,*,,
2020,06M018,29,*,*,*,*,,,*,,,*,*,*,18,12,9.3,8,15.6,11.8,*,*,*,*,,
2020,06M028,53,*,*,*,*,,,*,,,*,*,*,30,14.7,11.2,18,14.5,12,*,*,*,*,,
