Year,School Name,DBN,School Code,School Level,Leadership,Teachers,Other Staff,Male Count,Male Average Years in Title,Male Average Years at School,Female Count,Female Average Years in Title,Female Average Years at School
2023,THE WILLIAMSBURG HIGH SCHOOL OF ART AND TECHNOLOGY,76K454,K454,HIGH SCHOOL,3,30,11,13,9.7,7.5,17,5.9,3.6
2023,BOYS AND GIRLS HIGH SCHOOL,76K455,K455,HIGH SCHOOL,4,42,19,13,18.4,7.9,29,9.8,6.8
2023,JOHN JAY SCHOOL FOR LAW,76K462,K462,HIGH SCHOOL,3,37,7,14,5.7,2.1,23,5.7,3.4
2023,CYBERARTS STUDIO ACADEMY,76K463,K463,HIGH SCHOOL,2,24,6,12,8.6,2.8,12,13.7,6.3
2023,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,76K474,K474,HIGH SCHOOL,4,31,15,15,17,11.9,16,9,6.8
2023,EAST WILLIAMSBURG SCHOLARS ACADEMY,76K477,K477,HIGH SCHOOL,4,37,6,21,10.8,4.2,16,14.4,9.3
2023,THE HIGH SCHOOL FOR ENTERPRISE  BUSINESS AND TECHN,76K478,K478,HIGH SCHOOL,4,37,8,16,11.7,9.9,21,10.5,8.3
2023,THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,76K483,K483,HIGH SCHOOL,3,29,5,9,6.7,3.5,20,8.8,4.5
2023,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLO,76K485,K485,HIGH SCHOOL,7,97,24,37,8.1,7.9,60,7.7,6.5
2023,FORT HAMILTON HIGH SCHOOL,76K490,K490,HIGH SCHOOL,15,224,71,94,13.5,11.8,130,12.5,10.3
2023,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,76K498,K498,HIGH SCHOOL,3,40,6,22,9.5,6.6,18,13.2,7.3
2023,COBBLE HILL SCHOOL OF AMERICAN STUDIES,76K519,K519,HIGH SCHOOL,2,26,9,12,14,6.6,14,11.5,6.8
2023,WEST BROOKLYN COMMUNITY HIGH SCHOOL,76K529,K529,HIGH SCHOOL,1,16,3,9,12.9,6.8,7,10.4,6
2023,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESI,76K558,K558,HIGH SCHOOL,4,34,11,14,11.8,9.1,20,10.5,8.5
2023,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,76K559,K559,HIGH SCHOOL,2,17,4,8,16.8,9.5,9,10.4,6.3
2023,WILLIAMSBURG PREPARATORY SCHOOL,76K561,K561,HIGH SCHOOL,4,53,12,20,10.6,6.6,33,8.2,4.6
2023,BROWNSVILLE ACADEMY HIGH SCHOOL,76K568,K568,HIGH SCHOOL,2,6,4,*,,,*,,
2023,LEADERS HIGH SCHOOL,76K572,K572,HIGH SCHOOL,3,30,12,11,9.6,6.4,19,7.1,4.3
2023,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION,76K605,K605,HIGH SCHOOL,5,53,18,28,9.7,6.8,25,10.2,7.1
2023,A-TECH HIGH SCHOOL,76K610,K610,HIGH SCHOOL,4,36,11,18,11.3,4.9,18,9.1,4
2023,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HI,76K620,K620,HIGH SCHOOL,5,51,20,18,15,12.8,33,9.8,7.3
2023,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,76K647,K647,HIGH SCHOOL,3,16,4,*,,,*,,
2023,BROOKLYN HIGH SCHOOL OF THE ARTS,76K656,K656,HIGH SCHOOL,4,67,12,24,12.4,8,43,9.6,7
2023,RESEARCH AND SERVICE HIGH SCHOOL,76K669,K669,HIGH SCHOOL,3,16,3,7,9.7,5.2,9,12,3.6
2023,EAST BROOKLYN COMMUNITY HIGH SCHOOL,76K673,K673,HIGH SCHOOL,2,18,4,7,13.4,7.5,11,10.3,7.4
2023,CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING  ARCHI,76K674,K674,HIGH SCHOOL,3,34,14,16,9.1,5.5,18,5.9,3
2023,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,76K685,K685,HIGH SCHOOL,2,16,7,*,,,*,,
